fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	prob_corte	ganancia
20211017 230855	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	64	TRUE	0.0999679728014705	0.981210685091576	1412	142	5	76	0.0487421052908142	8198750
20211017 231055	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	147	TRUE	0.0953890648879681	0.447719153772639	1363	864	1	52	0.0459383991714414	8181250
20211017 231156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	61	TRUE	0.0928781033060031	0.577747245771195	433	365	8	49	0.0471938717226985	8452500
20211017 231300	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	137	TRUE	0.0894746431922594	0.268751364451562	3928	297	19	34	0.0481669509161146	8167500
20211017 231455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	234	TRUE	0.0839186374397269	0.516323682660393	3184	360	5	72	0.0464557570656353	8311250
20211017 231538	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	61	TRUE	0.0946686605329584	0.828459289995345	448	482	5	39	0.0459375621145304	8186250
20211017 231646	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	207	TRUE	0.0762963791181925	0.793237487084966	1622	212	9	101	0.0494380881629249	8213750
20211017 231739	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	123	TRUE	0.0698096167851711	0.80633230511019	1815	860	8	57	0.0478466170978256	8468750
20211017 231855	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	106	TRUE	0.09356789322784	0.531977026342367	1284	68	8	68	0.0497485887497748	8573750
20211017 232207	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	417	TRUE	0.0309600499466257	0.439915339014739	1855	52	0	73	0.0468461819530278	8451250
20211017 232327	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	183	TRUE	0.0771452792916792	0.368652175270544	1516	17	7	81	0.0508046828542712	8526250
20211017 232430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	83	TRUE	0.07391492267093	0.566865597696137	1363	109	5	31	0.0488141395827668	8382500
20211017 232524	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	81	TRUE	0.0991267306793675	0.542808351660054	1241	16	0	90	0.0506207370093752	8472500
20211017 232650	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	209	TRUE	0.0845626495939608	0.409350817565367	1533	17	15	68	0.0514423811566015	8481250
20211017 232817	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	249	TRUE	0.0410605365578537	0.838813771211326	1707	785	10	57	0.0480545012974512	8328750
20211017 233020	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	364	TRUE	0.0745507076920628	0.317753258407195	1819	17	0	68	0.0498019364095281	8435000
20211017 233307	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	433	TRUE	0.0324964294850017	0.340093127781224	1611	178	12	75	0.0475419384843582	8292500
20211017 233822	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	1245	TRUE	0.0125344582007244	0.901032669484222	4808	51	2	153	0.046772143959784	8448750
20211017 233956	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	220	TRUE	0.0953207332720441	0.40896838835414	727	53	9	134	0.0501256847196794	8452500
20211017 234038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	117	TRUE	0.084792684016493	0.839787013064835	4711	837	14	23	0.0487598226974806	8035000
20211017 234237	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	387	TRUE	0.0979906048914373	0.229011259009693	815	47	7	66	0.0477462567287279	8311250
20211017 234536	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	478	TRUE	0.0408182191374073	0.91066566436815	4703	49	0	118	0.0469127098731319	8371250
20211017 234746	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	195	TRUE	0.046118367476756	0.443100264558976	1992	22	0	143	0.0475329999915196	8300000
20211017 235001	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	105	TRUE	0.0886732443560431	0.401586687365504	63	77	4	74	0.046627391494346	8633750
20211017 235444	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	719	TRUE	0.0169379799469126	0.985869886876993	3842	323	6	85	0.0446491480733318	8360000
20211017 235619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	134	TRUE	0.0693517241006125	0.452588790794241	11	39	4	78	0.0467514195591131	8602500
20211017 235730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	94	TRUE	0.096253716231395	0.437510383821116	585	78	4	76	0.0466330081868621	8368750
20211017 235936	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	152	TRUE	0.0671216891794812	0.38084256350951	1	193	4	71	0.0477580134716283	8578750
20211018 000118	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	180	TRUE	0.0842441444916723	0.385966688448973	3	39	14	105	0.0503547708556552	8562500
20211018 000421	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	263	TRUE	0.0342353818264102	0.519008371513034	0	19	2	73	0.0499859327995705	8708750
20211018 000601	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	88	TRUE	0.0755542635978103	0.557181755774146	29	25	2	70	0.047486747793453	8607500
