Feature	Gain	Cover	Frequency
ctrx_quarter	0.089388426469581	0.0101414042655564	0.00690131124913734
V36b	0.0449805258804707	0.00230260834161256	0.0020703933747412
V5	0.0393606759788827	0.00674042094932792	0.00676328502415459
mtarjeta_visa_consumo	0.0311685341960473	0.00448857113395116	0.00289855072463768
cpayroll_trx	0.0284790911420621	0.00425504037152813	0.00138026224982747
ctarjeta_visa_transacciones	0.0267800093531155	0.00277628458941174	0.00276052449965493
V107b	0.0214046004975207	0.00115067647970479	0.00138026224982747
V7	0.0185730851738926	0.0031450519702782	0.00110420979986197
V40	0.0153872607804373	0.00262410715876748	0.00138026224982747
mcuentas_saldo	0.0149799783522616	0.0063867934778293	0.00745341614906832
V23	0.0143618928620795	0.00399150825696716	0.00179434092477571
mvr_msaldopesos	0.0136069222189918	0.00701445262413192	0.00483091787439614
V70b	0.0120847313971373	0.00402833204074997	0.00262249827467219
mactivos_margen	0.0106994300315899	0.0125719999640185	0.0121463077984817
cliente_edad	0.00979519617604616	0.0191723932999138	0.0183574879227053
V28	0.00915890644186169	0.00494945161333241	0.00220841959972395
mtransferencias_recibidas	0.00902395558405815	0.00845811020236631	0.00993788819875776
mprestamos_personales	0.00890020015066131	0.0112519336224101	0.00427881297446515
Master_fechaalta	0.00870291173399275	0.00760930520970125	0.0131124913733609
mrentabilidad_annual	0.00855173483798672	0.0121430860805511	0.0115942028985507
numero_de_cliente	0.00814363086598396	0.00873937972619872	0.0135265700483092
V111	0.0075965443134706	0.00394114004047083	0.00579710144927536
V102b	0.00742913896525857	0.00710314880054154	0.00910973084886128
V101b	0.00732661315586372	0.00212962580409541	0.00303657694962043
mv_status01	0.00669196674958733	0.00495614165921771	0.00165631469979296
Visa_fechaalta	0.00666058098313803	0.006947860304547	0.010351966873706
cproductos	0.00615971192531541	0.00820860413078218	0.0064872325741891
mv_fechaalta	0.00577687884280985	0.00854653247720437	0.00883367839889579
V102	0.00576142475410226	0.0083772772835735	0.0110420979986197
V101	0.00541943758438184	0.00479324098204697	0.00510697032436163
Master_Fvencimiento	0.00534785111526256	0.00823646676814887	0.0104899930986888
Visa_Fvencimiento	0.00534279823841661	0.0078769914980975	0.0100759144237405
chomebanking_transacciones	0.00527923168964538	0.00968101680900392	0.00966183574879227
V56	0.00506810314889758	0.00387018812087195	0.00386473429951691
V89b	0.00505358719542634	0.00398135792122786	0.00731538992408558
thomebanking	0.00480236751158584	0.00354631777260996	0.0041407867494824
mcaja_ahorro	0.00475094507772828	0.00702259434834647	0.00690131124913734
V49	0.00471919341412073	0.00570993704424876	0.00814354727398206
V25	0.00471429214701385	0.00146608783443185	0.00082815734989648
Visa_mpagospesos	0.00462238559256548	0.00771430994218401	0.0082815734989648
