fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	prob_corte	ganancia
20211009 154618	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	12	TRUE	0.0390022441299516	0.792744366933281	5001	489	0.505487352997685	0.0215191699881204	5180000
20211009 155317	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	170	TRUE	0.0604218133649556	0.53334121662192	4302	782	0.294392700122747	0.0411600760697426	7885000
20211009 155933	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	195	TRUE	0.052320716897957	0.707691913051531	3512	999	0.583567712514196	0.0549240847584345	7370000
20211009 161002	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	553	TRUE	0.0119966519696754	0.246026622938613	877	726	0.215119693321564	0.0362372458218791	7867500
20211009 161300	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	158	TRUE	0.0823730810917914	0.959422659501433	4546	173	0.773845332102307	0.02979357008701	6308750
20211009 161500	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	37	TRUE	0.0900762722024229	0.596410823791909	1866	538	0.182837461984794	0.0388525778230784	7556250
20211009 161740	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	113	TRUE	0.0493224731850205	0.689962747879326	6908	430	0.742150862866159	0.0303787921813394	6218750
20211009 162103	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	183	TRUE	0.0775493514331174	0.384511982331363	3232	668	0.90759561151693	0.0355438553794617	7591250
20211009 162920	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	706	TRUE	0.0329902892577229	0.286014380057653	7581	751	0.157026683853474	0.043116505099703	7763750
20211009 164131	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	617	TRUE	0.0194441166112665	0.749497563128049	4746	42	0.12284709905119	0.04407249928617	7893750
20211009 164332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	20	TRUE	0.0461791099337279	0.338065669739929	2422	466	0.266831681898717	0.0281438036160156	6555000
20211009 164952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	323	TRUE	0.0409992859288468	0.821319350972772	5356	618	0.979552877038562	0.0480209500128209	8062500
20211009 165250	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	111	TRUE	0.0695108291055658	0.328812273622801	589	922	0.418358811119106	0.0318936965085838	6993750
20211009 165511	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	65	TRUE	0.0702235660434235	0.609716442475716	282	82	0.352960922910521	0.0518102437688504	6883750
20211009 170115	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	305	TRUE	0.0271928020109772	0.404418228434709	7220	104	0.847384590393631	0.0398692761373241	7307500
20211009 170344	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	107	TRUE	0.0879044541882467	0.844668564635018	3952	961	0.38649910367288	0.0496890257727743	7778750
20211009 170526	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	8	TRUE	0.0656108567176852	0.870440983190201	2069	867	0.495944388773448	0.0239548020682802	6765000
20211009 170821	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	139	TRUE	0.0586458295641933	0.661353403516114	5921	208	0.00837812239963872	0.0249542747259936	5602500
20211009 171107	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	93	TRUE	0.0741723273767275	0.915583687679221	1601	260	0.956882600730751	0.0458175101376643	7987500
20211009 171345	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	209	TRUE	0.0951625256196712	0.202168224006891	6119	336	0.800333973796417	0.026610603236962	5621250
20211009 172037	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	307	TRUE	0.0312835272724624	0.477068890514784	2820	855	0.637736050751604	0.0462622892421011	7832500
20211009 172817	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	31	503	TRUE	0.0220853160219849	0.979489222091312	7970	584	0.561448897749263	0.0334382290330541	7176250
