Feature	Gain	Cover	Frequency
ctrx_quarter	0.197247763959721	0.0177673275444327	0.0114667509367523
cpayroll_trx	0.0262370363359903	0.00645724245336145	0.00212180037018645
V40b	0.0262206550331241	0.00234597534814301	0.00126405128436639
V36b	0.0209730224334364	0.00106139142196051	0.00185093223782222
V28	0.0203564710256031	0.0121486012629148	0.00397273260800867
mcuentas_saldo	0.0175182212095703	0.00821587357077821	0.0100221208974764
mprestamos_personales	0.013650446263567	0.0118039903534224	0.00541736264728455
ctarjeta_visa_transacciones	0.0135351175844874	0.00384764506116305	0.00306983883346124
V6	0.0128911039940861	0.00616081175417637	0.00586880953455826
mactivos_margen	0.0125311642080602	0.0128402449013374	0.0120536318902081
V5	0.0120746852308016	0.0037686827199421	0.0039275879192813
V89b	0.0114387861121616	0.00285893027743435	0.0062751117331046
cliente_edad	0.0103221640814236	0.0169279910925905	0.0201796758611349
mv_status01	0.0101106636086222	0.00625937938115778	0.00216694505891382
mvr_msaldopesos	0.00925082439275091	0.00452451772169767	0.00388244323055393
V101	0.00921338347318255	0.0033031225001527	0.00487562638255609
mrentabilidad_annual	0.00824655849519231	0.013603841601116	0.0116924743803891
mtarjeta_visa_consumo	0.00824624162270439	0.00695370950019665	0.00383729854182655
Master_fechaalta	0.00797750223073291	0.0079021584607825	0.0147623132138504
V70b	0.00774869481944591	0.00225616868478803	0.0023475238138233
V101b	0.00760692754559342	0.00237378343389066	0.00270868132364227
numero_de_cliente	0.00735848230747324	0.00823572994534904	0.0132273937971198
chomebanking_transacciones	0.00720075905176368	0.0103785744459088	0.0120987765789355
mv_fechaalta	0.00673165590332546	0.0122507952570053	0.012279355333845
mtransferencias_recibidas	0.00670934970202679	0.013874752855129	0.0108347252945691
cproductos	0.0067006243251172	0.00807881640433265	0.00622996704437723
mpayroll	0.00647472943677737	0.00674009060514274	0.0032955622770981
V40	0.00644412297171682	0.00105291887115679	0.000993183152002167
V102	0.00638087502937965	0.00599650127253039	0.0105187124734775
Visa_fechaalta	0.00592890146534054	0.00443015752883584	0.00880321430183739
mcaja_ahorro	0.00577805289998941	0.00444222760546641	0.00496591576001084
V102b	0.00565684960187115	0.00543914858227432	0.00902893774547424
mv_mpagominimo	0.00565039940031828	0.00234809518238996	0.00270868132364227
ccomisiones_otras	0.00545960444425728	0.00129450278246483	0.0023475238138233
Visa_status	0.00530926723509608	0.00385611506714774	0.000902893774547424
Master_Fvencimiento	0.00520150875292398	0.00620801814707053	0.0114216062480249
Visa_Fvencimiento	0.00512972581510067	0.0105712342114815	0.0107895806058417
Master_mfinanciacion_limite	0.00477061648954105	0.00828118126138968	0.00975125276511218
thomebanking	0.00473881393765601	0.00320417823995575	0.00428874542910027
V50	0.00473219949508096	0.00457004792712806	0.00875806961311002
V23	0.00465230359131637	0.00186113048979016	0.00103832784072954
V10	0.00460431736281042	0.00211134133758937	0.00279897070109702
mcaja_ahorro_dolares	0.00453940685845204	0.00552141325031534	0.00835176741456368
mvr_msaldototal	0.0045125890643903	0.00266414898106867	0.00306983883346124
V49	0.00451044505713517	0.004728190615733	0.00812604397092682
mcuenta_debitos_automaticos	0.00409798986275746	0.00628154645140235	0.00442417949528238
Visa_mpagospesos	0.00400214243155121	0.00801376489216959	0.00803575459347208
V46	0.00398000254895731	0.00579967054857743	0.0042436007403729
V13	0.00396946940006872	0.00403383844159592	0.00713286081892465
mpasivos_margen	0.00396148633252659	0.00274819417415344	0.00577852015710352
V17	0.00394487299912956	0.00533036859654983	0.00171549817164011
cliente_antiguedad	0.0039098409330392	0.00426292729149639	0.00790032052728996
V12	0.00386252906341931	0.00407599930663861	0.00455961356146449
mv_status02	0.00381810805034634	0.00659799554530278	0.00158006410545799
V87c	0.00380188002203268	0.00158826990440485	0.00311498352218861
cmobile_app_trx	0.00376629749751992	0.00595551611387677	0.00857749085820053
mv_msaldopesos	0.00372156707824844	0.00438965843061579	0.0023475238138233
ccallcenter_transacciones	0.0036091577510062	0.00466162663279671	0.00221208974764119
V73b	0.00356461011692055	0.00941003922876698	0.00306983883346124
V45b	0.00354725399502307	0.00734542161673023	0.0056430860909214
mtransferencias_emitidas	0.00345271665018237	0.00763296241479167	0.00650083517674146
V54b	0.00343219890530731	0.00279887763810732	0.00677170330910568
V50b	0.00342795243301971	0.00357167470693048	0.00744887364001625
V91b	0.00341308466742589	0.0032778490541529	0.0065911245541962
mvr_msaldopesos2	0.00335272426888257	0.00408657642277513	0.0056430860909214
V84b	0.00327166964646044	0.00311597311603983	0.00613967766692249
V11	0.00319913710212672	0.00372264779207196	0.00510134982619295
V52b	0.00313331816547871	0.00401608239099286	0.00604938828946774
mv_Fvencimiento	0.00312507327116407	0.00486639125419332	0.00717800550765203
V55	0.00305656342609944	0.0106117629992569	0.00586880953455826
V103	0.00302053918464023	0.007283859899722	0.00622996704437723
tcallcenter	0.00300853045852547	0.00284215567870152	0.00158006410545799
V45	0.00299955740301591	0.00186915175935363	0.00446932418400975
Visa_mconsumosdolares	0.00296368166247227	0.00277122987595818	0.00464990293891924
V82b	0.0029003906869551	0.00282530219057894	0.00514649451492032
V52	0.00289031251753183	0.00214039977775078	0.00433389011782764
V112	0.00288659763071381	0.00190964661620865	0.00474019231637398
Visa_mpagominimo	0.00283011525458683	0.000909294375083446	0.00203151099273171
V34b	0.00280573976931373	0.00333447127743566	0.00528192858110243
V80b	0.00272516185421858	0.00427487521681381	0.00501106044873821
mvr_mpagominimo	0.00271636802695873	0.00250432077399687	0.00388244323055393
V104	0.00269464837622142	0.00317386096265049	0.0056430860909214
V91	0.00267424423248051	0.00328387179250957	0.00559794140219403
mv_fultimo_cierre	0.00266195575854994	0.00956113446522162	0.00433389011782764
V37b	0.0026598464157319	0.0107912736849329	0.00555279671346666
Visa_cconsumos	0.00263538767599704	0.0040691537434642	0.00501106044873821
V14	0.00262681561292334	0.00185975628751723	0.00487562638255609
V11b	0.00260150063476379	0.00220444354158036	0.00483048169382872
Master_mlimitecompra	0.00254294296338373	0.00565739650313279	0.00492077107128346
ccuenta_debitos_automaticos	0.002513133500088	0.00284079674534273	0.00261839194618753
V83	0.00247298269622477	0.00517335326277249	0.00451446887273712
Visa_mfinanciacion_limite	0.00246193313708191	0.00201241998076363	0.00437903480655501
ccaja_ahorro	0.00246027620671771	0.0105070462412406	0.00325041758837073
V33b	0.0024424495064054	0.00411088962372989	0.00352128572073496
V32	0.00229924515500848	0.00331043376520849	0.00112861721818428
mrentabilidad	0.00229250850796987	0.00204829599109018	0.0039275879192813
V47	0.00226132146121917	0.00385889655434091	0.00410816667419078
mv_status06	0.00224397977149422	0.000307439586282664	0.000451446887273712
V54	0.00223807901542585	0.0110802141334575	0.0056430860909214
V53	0.00223525723974998	0.0036795326198953	0.00415331136291815
Visa_mconsumospesos	0.00221628730499746	0.00378550397369037	0.00446932418400975
mcuenta_corriente	0.00220513837581185	0.00244636930691061	0.0032955622770981
V87d	0.00219997251776794	0.00181914097589509	0.00415331136291815
ctransferencias_emitidas	0.00219587617229305	0.00394277633418913	0.00442417949528238
V89	0.00218683375657545	0.00517457307935796	0.00483048169382872
mplazo_fijo_dolares	0.00215320324327186	0.00972238183303577	0.00248295788000542
V111	0.00215242715391466	0.00176771272824021	0.0036115750981897
mv_msaldototal	0.00211418567672796	0.00265907630848094	0.00230237912509593
V105d	0.00210260653241072	0.00355582727059537	0.00383729854182655
V8	0.00209581586014193	0.00295719761577093	0.00306983883346124
V62	0.00209302492040161	0.00161734531002642	0.00428874542910027
mvr_Master_mlimitecompra	0.00206669488683434	0.00407811998915856	0.00433389011782764
V84	0.00204484316554582	0.00595250474469843	0.00483048169382872
V100c	0.00199851600967606	0.00271433705358589	0.00437903480655501
V85b	0.00199453925505455	0.00153071033944828	0.00352128572073496
V25	0.00195601453560581	0.00117369428548715	0.00130919597309377
mv_mpagospesos	0.00194495492196221	0.00267663640801916	0.00352128572073496
V97b	0.001933690047952	0.00447030120066555	0.00365671978691707
V104b	0.00191778460437211	0.00203800304641134	0.00379215385309918
mvr_Visa_mlimitecompra	0.00190848738597482	0.00389789251279082	0.0036115750981897
Visa_mlimitecompra	0.00186950994064843	0.00265891344006341	0.00370186447564444
mtarjeta_master_consumo	0.00186535864657612	0.00556174439047981	0.0026635366349149
ccaja_seguridad	0.0018351676654124	0.00601909078273293	0.00230237912509593
mvr_mconsumospesos	0.00183161130226697	0.00359015687922837	0.00356643040946233
V103b	0.00182376612731418	0.00145326810345763	0.00288926007855176
V39b	0.00181523438441108	0.00118950015644487	0.0026635366349149
V70	0.00179972076424211	0.0158673274888709	0.00433389011782764
V62b	0.00179572498374116	0.00233730006009039	0.0036115750981897
V56	0.00179461212386462	0.00361900155459177	0.00338585165455284
V15	0.00178874970298289	0.00142170047173862	0.00370186447564444
mcomisiones_otras	0.00175331357200473	0.00168777317651406	0.00311498352218861
V105	0.00174659383696895	0.00239082863171303	0.00288926007855176
mpagomiscuentas	0.00170395075805712	0.00868176546531373	0.00428874542910027
V111b	0.00169599767967809	0.00162914648411345	0.00320527289964336
V110b	0.0016740342362517	0.00115116076130314	0.00148977472800325
