fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20211005 102811	-0.20311570661579	4229	853	19	5	2742500
20211005 102925	-0.532834733906202	5171	1620	14	5	2430000
20211005 103033	-0.949902757113159	4724	1173	11	5	2742500
20211005 103142	-0.605347443686333	7828	215	12	5	2368750
20211005 103336	-0.418849712570954	2258	895	16	5	3535000
20211005 103502	-0.372452066339611	7399	1410	10	5	2368750
20211005 103602	-0.471684926471789	2504	450	5	5	3785000
20211005 103808	-0.694705994754622	836	98	18	5	2098750
20211005 103928	-0.882882606738713	5791	1654	13	5	2430000
20211005 103957	0.081995080910565	6974	285	3	5	0
20211005 104117	-0.296761756649357	6224	738	16	5	1996250
20211005 104241	-0.81931287618354	440	88	11	5	686250
20211005 104310	-0.733928031506948	5123	890	3	5	2807500
20211005 104433	-0.516693304786459	3361	530	14	5	3618750
20211005 104547	-0.246438942481764	7123	1625	17	5	2368750
20211005 104640	-0.782858926686458	7348	1144	8	5	2368750
20211005 104813	-0.437275835407489	2723	1	11	5	3027500
20211005 104902	-0.502103630781258	1560	777	4	5	3068750
20211005 104948	-0.471939934613269	3030	759	3	5	3265000
20211005 105156	-0.463301454209891	1977	478	17	5	4408750
20211005 105334	-0.465422035984272	984	472	20	5	4125000
20211005 105518	-0.460376187692623	4855	493	16	5	2525000
20211005 105730	-0.47798628120003	2165	544	20	5	4590000
20211005 105909	-0.481601141501749	2094	236	20	5	4102500
20211005 110032	-0.471177134443431	2253	651	20	5	4445000
20211005 110157	-0.339935956715998	2066	507	20	5	4585000
20211005 110325	-0.170819599501785	1708	510	20	5	3915000
20211005 110450	-0.40979998783671	2153	496	20	5	4585000
20211005 110617	-0.38098383067442	1913	535	20	5	4122500
20211005 110758	-0.302076311788922	2448	436	20	5	4440000
20211005 110953	-0.443155167286128	2210	481	20	5	4585000
20211005 111034	0.0665134227922587	2221	534	17	5	0
20211005 111218	-0.334889064414968	2249	412	20	5	4585000
20211005 111359	-0.254965336274476	2092	453	20	5	4472500
20211005 111610	-0.224740882940954	87	43	20	5	-471250
20211005 111738	-0.322521713603415	2185	515	20	5	4590000
20211005 111945	-0.343174701091411	2335	497	20	5	4711250
20211005 112112	-0.34813036020616	2849	506	20	5	3775000
20211005 112321	-0.56749395047375	2343	516	20	5	4716250
20211005 112507	-0.530153963327926	2338	493	18	5	4711250
20211005 112638	-0.608517212930605	2108	504	17	5	4585000
20211005 112803	-0.698913227926755	2431	566	18	5	4445000
20211005 112949	-0.270758326126286	1308	465	17	5	4153750
20211005 113113	-0.584363253153968	2382	556	17	5	4716250
20211005 113142	-0.912411840998701	3310	657	3	5	3265000
20211005 113210	-0.652222677414866	4000	571	3	5	2966250
20211005 113352	-0.999510623399629	2357	542	16	5	4716250
20211005 113459	-0.99997175194921	2099	550	9	5	4590000
20211005 113631	-0.999693876206884	2106	730	17	5	3791250
20211005 113735	-0.99812689749916	2384	466	9	5	4711250
20211005 113853	-0.926177024546661	2313	491	13	5	4585000
20211005 114033	-0.9999397729826	2252	364	14	5	4435000
20211005 114213	-0.999408485104077	2649	523	15	5	4205000
20211005 114437	-0.999528393083266	6241	1	20	5	1983750
20211005 114509	-0.999754867100017	2301	549	3	5	3390000
20211005 114622	-0.57772955656266	2339	541	10	5	4716250
20211005 114739	-0.998726315210021	2357	519	11	5	4716250
20211005 114845	-0.998788562136535	8000	1994	19	5	2368750
20211005 115008	-0.567184029853633	2084	478	10	5	4585000
20211005 115044	-0.24970094798695	4617	2000	3	5	2757500
20211005 115211	-0.568908887771405	2348	530	15	5	4716250
20211005 115247	0.0987353264802908	7998	1997	20	5	0
20211005 115441	-0.999922567694637	2379	482	20	5	4711250
20211005 115512	-0.570205087361227	6597	2000	3	5	2368750
20211005 115627	-0.997463143753693	1623	467	10	5	3861250
20211005 115817	-0.999382061864306	3735	526	20	5	3280000
20211005 115946	-0.645400587096901	2369	506	10	5	4711250
20211005 120128	-0.488052732833061	2355	521	17	5	4716250
20211005 120304	-0.999305063725968	7999	461	20	5	2368750
20211005 120403	-0.774944585945023	3778	1889	6	5	2597500
20211005 120439	-0.999734921234448	5186	1999	3	5	2762500
20211005 120609	-0.480640257662541	1042	520	9	5	4273750
20211005 120645	-0.997924356339575	7999	3	3	5	2368750
20211005 120815	-0.975676260120033	2354	519	10	5	4716250
20211005 120938	-0.610780624647367	2349	535	9	5	4716250
20211005 121053	-0.343729737706242	2344	502	9	5	4711250
20211005 121145	-0.261533343697716	3578	594	7	5	3280000
20211005 121304	-0.34666389437288	2336	486	13	5	4711250
20211005 121430	-0.608773401924606	2338	494	16	5	4711250
20211005 121555	-0.568182372209081	2354	508	17	5	4711250
20211005 121714	-0.342340790730441	2101	480	10	5	4585000
20211005 121845	-0.993355902162599	2376	491	11	5	4711250
20211005 122016	-0.358301048914015	2372	533	10	5	4716250
20211005 122053	-0.999929292824043	6190	543	3	5	2368750
20211005 122255	-0.586034760442886	1192	582	15	5	3748750
20211005 122426	-0.467555446140325	2365	548	9	5	4716250
20211005 122559	-0.466154259140838	2359	517	10	5	4716250
20211005 122729	-0.19574197355237	1004	499	9	5	3761250
