fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210902 203551	-0.379783581411175	6885	962	10	5	1996250
20210902 203806	-0.54985111567803	2301	449	14	5	4585000
20210902 203936	-0.272984828117478	5688	1501	19	5	2430000
20210902 204102	-0.887049978594587	4069	1903	12	5	2597500
20210902 204216	-0.814955387232476	7167	1051	10	5	2308750
20210902 204307	-0.459619808536081	4638	68	7	5	1813750
20210902 204423	-0.745334518364689	2972	1375	15	5	3078750
20210902 204517	-0.387514708700473	5088	1457	8	5	2430000
20210902 204708	-0.0535117983541568	3705	234	16	5	3232500
20210902 204744	-0.0265023996151285	1811	606	3	5	3353750
20210902 204924	-0.711820948017703	6040	680	18	5	1996250
20210902 205010	0.0332034983439371	7844	265	5	5	0
20210902 205126	-0.628309214644833	7308	1672	10	5	2368750
20210902 205202	0.0988409752142616	5141	1051	13	5	0
20210902 205308	-0.302673477015924	2624	258	7	5	3935000
20210902 205426	-0.930509574501775	6616	623	10	5	1996250
20210902 205701	-0.384123928482941	1989	346	20	5	4653750
20210902 205903	-0.533778980742018	1426	222	16	5	3991250
20210902 210049	-0.413610787226958	2395	543	20	5	4445000
20210902 210336	-0.16462799778608	2160	1	20	5	2811250
20210902 210527	-0.35516093667416	1557	431	15	5	4157500
20210902 210754	-0.80087290921006	2363	369	20	5	4762500
20210902 210948	-0.582246457627046	2529	360	20	5	4371250
20210902 211215	-0.754235597687433	2000	379	20	5	4881250
20210902 211427	-0.923861885167155	2057	212	20	5	4003750
20210902 211617	-0.999770495127704	2175	466	20	5	4472500
20210902 211717	-0.806259451812474	1971	516	6	5	4627500
20210902 211905	-0.79076662608002	1888	470	19	5	3940000
20210902 212009	-0.717221093352906	2154	207	7	5	4047500
20210902 212124	-0.529134647861541	923	461	8	5	4063750
20210902 212227	-0.944470144481862	2099	378	6	5	4627500
20210902 212421	-0.835409625208226	642	318	14	5	2608750
20210902 212533	-0.798696254023214	831	402	7	5	4580000
20210902 212653	-0.642639330941896	744	369	6	5	4972500
20210902 212740	-0.88292717328501	596	298	4	5	3451250
20210902 212908	-0.314660037376034	867	433	6	5	5145000
20210902 213017	-0.344387988699956	1534	767	6	5	3828750
20210902 213129	-0.131803877173653	876	434	7	5	4886250
20210902 213308	-0.384915267898492	2100	401	12	5	4765000
20210902 213453	-0.389056184918424	2666	208	13	5	3892500
20210902 213551	0.0156535210155413	882	440	20	5	0
20210902 213653	-0.217802251967733	463	230	6	5	3853750
20210902 213806	-0.265300574540924	916	455	7	5	4707500
20210902 213908	-0.400891149261549	827	411	6	5	4948750
20210902 214041	-0.130721525114579	769	381	10	5	3937500
20210902 214130	0.0251181553533677	1022	440	6	5	0
20210902 214208	-0.137932052737782	1216	587	3	5	3391250
20210902 214328	-0.14135172596375	813	399	8	5	4056250
20210902 214430	-0.781095638890742	11	4	6	5	3491250
20210902 214533	-0.559588733330447	966	482	6	5	5088750
20210902 214716	-0.53914206362916	615	302	12	5	2771250
20210902 214855	-0.251737320412432	1902	274	12	5	4195000
20210902 215034	-0.779386671319445	2028	999	20	5	3197500
20210902 215127	-0.564897581251249	806	403	5	5	3587500
20210902 215236	-0.634545683827241	1049	515	7	5	4648750
20210902 215345	-0.948433284779223	1857	917	7	5	3506250
20210902 215609	-0.416444372566073	6693	1	20	5	2023750
20210902 215739	-0.367261292399146	1913	541	13	5	4401250
20210902 215909	-0.441664037228179	2090	899	14	5	3517500
20210902 220043	-0.557001430860339	6097	385	15	5	1996250
20210902 220241	-0.392860841820713	651	325	19	5	2936250
20210902 220435	-0.390912279333459	1606	438	14	5	4056250
20210902 220613	-0.343223929473039	1810	846	12	5	3500000
20210902 220714	-0.643811238882404	1126	558	6	5	5085000
20210902 220815	-0.62187657016496	2974	476	6	5	3743750
20210902 221004	-0.309525552844874	1011	505	16	5	3898750
20210902 221056	-0.99797695453304	1433	709	5	5	3193750
20210902 221158	-0.716375624829779	1164	577	6	5	5042500
20210902 221328	-0.341982118963366	1918	303	11	5	4455000
20210902 221456	-0.344107489984171	6981	439	12	5	2308750
20210902 221723	-0.694856561362701	233	115	20	5	-40000
20210902 221800	-0.0493763819559068	6863	2000	3	5	2368750
20210902 221921	-0.115547543280562	4673	1999	12	5	2443750
20210902 222108	-0.469549513222259	2492	398	17	5	4440000
20210902 222228	-0.123195325753205	4028	503	11	5	2696250
20210902 222408	-0.748204244047351	3363	447	20	5	3618750
20210902 222451	-0.294973780235089	6019	1880	4	5	1991250
20210902 222548	-0.697295680457179	1221	370	6	5	4972500
20210902 222642	-0.999877362556708	7995	2000	6	5	2368750
20210902 222721	-0.226134447861077	927	430	3	5	3390000
20210902 222901	-0.583594471304511	2018	637	16	5	4447500
20210902 223016	-0.538183420209535	7995	2000	17	5	2368750
20210902 223131	-0.999301046940799	7999	1935	16	5	2368750
20210902 223239	-0.332827141369616	1701	361	8	5	4842500
20210902 223331	0.0103890715576012	2533	918	6	5	0
20210902 223506	-0.563156717522358	1242	531	14	5	3760000
