Feature	Gain	Cover	Frequency
ctrx_quarter	0.187216996984194	0.019660309356923	0.0135207069094006
mtarjeta_visa_consumo	0.101210054551141	0.015278098032406	0.0116043862450761
mcaja_ahorro	0.0909815036149054	0.0115196888436675	0.0161822633876291
cpayroll_trx	0.0747722343953955	0.0163904405047163	0.00393910358777813
mpayroll	0.0642401277462612	0.0190914285830239	0.00766528265729799
ctarjeta_visa_transacciones	0.0523899090532019	0.0100711216099006	0.0104333013946556
mcuentas_saldo	0.0299639086283028	0.0228086669488847	0.030661130629192
mpasivos_margen	0.0246407647088949	0.0135227648190437	0.0163951879058874
mprestamos_personales	0.0243672157517748	0.0257757256262754	0.0106462259129139
Visa_mpagominimo	0.0192792253437999	0.0145546114806647	0.0156499520919834
mactivos_margen	0.0174879735604696	0.0219971085832707	0.0274672628553178
mrentabilidad_annual	0.0163366511442159	0.0162115094795734	0.0332162248482913
Visa_status	0.0156783983129787	0.0219837185103762	0.00425849036516555
cproductos	0.0123374844797648	0.0145205194663397	0.015330565314596
mcuenta_corriente	0.0110234085708234	0.0197148609302958	0.0281060364100926
cliente_edad	0.00989425717839128	0.0258611716310054	0.033748536143937
Visa_fechaalta	0.00899067135886907	0.0147153669345938	0.0292771212605132
Master_fechaalta	0.00881589744935981	0.0131512454537494	0.0297029702970297
mtransferencias_recibidas	0.00767299475671817	0.0102668795658218	0.0119237730224635
mcomisiones_mantenimiento	0.00712480072305577	0.0168392829574636	0.0112849994676887
numero_de_cliente	0.0071229851794972	0.0147068680138775	0.0258703289683807
Visa_Fvencimiento	0.00699768433106623	0.0177633688978413	0.0293835835196423
Master_Fvencimiento	0.00662685162888307	0.0160369226925151	0.0332162248482913
matm	0.00622184187124756	0.00371301842643387	0.00479080166081124
Master_mfinanciacion_limite	0.00593558564527793	0.0135203316728203	0.0265091025231555
ccallcenter_transacciones	0.00568351854251706	0.0137266239399768	0.00596188651123177
thomebanking	0.00559193030107201	0.00466273785748399	0.00372617906951986
mrentabilidad	0.00534533036155878	0.00944045818822022	0.017672735015437
mcaja_ahorro_dolares	0.00512573866016537	0.0102391143531709	0.0123496220589801
chomebanking_transacciones	0.005090548243757	0.0175822253565924	0.0149047162780794
ccomisiones_otras	0.00492984386230445	0.0139955503007193	0.0166081124241456
mautoservicio	0.00486725401722554	0.00627570871078187	0.00585542425210263
cliente_antiguedad	0.00477800701280107	0.00932370756656301	0.0235281592675397
Visa_mconsumospesos	0.00469771803234297	0.017390165285736	0.0186308953475993
Visa_msaldopesos	0.00454850060189865	0.00907625069146178	0.0128819333546258
Master_mlimitecompra	0.00437875565149595	0.0102325824587118	0.0159693388693708
Master_status	0.00435025997375354	0.0164977195686612	0.00361971681039072
ccuenta_debitos_automaticos	0.00424102463702109	0.00605702386745845	0.0033003300330033
mcuenta_debitos_automaticos	0.00407413594164514	0.0071955374221354	0.00734589587991057
tcallcenter	0.00394844377739175	0.00435877481261845	0.00159693388693708
ctarjeta_debito_transacciones	0.00388925971939343	0.0115994792594747	0.00755882039816885
Visa_mfinanciacion_limite	0.00382347291181913	0.00879946554808979	0.0219312253806026
Master_msaldopesos	0.00364013955365151	0.0110871326225379	0.0109656126903013
cmobile_app_trx	0.0034631262904926	0.00774351737675191	0.0124560843181092
Visa_mpagospesos	0.00344655525263575	0.0113432313618117	0.0159693388693708
mcomisiones_otras	0.00341543265531053	0.00890456938552589	0.0151176407963377
mcomisiones	0.00336014534302063	0.00704709996517866	0.0133077823911423
ccaja_seguridad	0.00328761172660199	0.00638775152078087	0.00287448099648675
ccajas_otras	0.00314267312829443	0.0281581673197095	0.00425849036516555
mtransferencias_emitidas	0.00294785239778122	0.0156768854157206	0.0105397636537847
ccomisiones_mantenimiento	0.00285259205912544	0.00930382910373953	0.00393910358777813
cprestamos_personales	0.0028337164621119	0.00280558850618019	0.00372617906951986
mtarjeta_master_consumo	0.00280715945999008	0.00315652712123529	0.00298094325561588
ctransferencias_recibidas	0.0027400220165319	0.0105801774398763	0.0116043862450761
Visa_mconsumosdolares	0.002721581187701	0.00858732813655769	0.0109656126903013
Visa_msaldototal	0.00262232945959689	0.00539306083539568	0.0106462259129139
Master_fultimo_cierre	0.00260390034421669	0.0117604087315245	0.0085169807303311
mpagomiscuentas	0.00252754285828469	0.00697045741287627	0.00628127328861918
Visa_fultimo_cierre	0.00248315505978534	0.0120593190359569	0.0079846694346854
tpaquete4	0.00247383144874129	0.00887883024099456	0.00319386777387416
Master_msaldototal	0.00246005076649854	0.00540885608731561	0.0066006600660066
Visa_mconsumototal	0.00244585861210535	0.00902043437924739	0.00894282976684765
Visa_mlimitecompra	0.00243483148153277	0.00837350026328165	0.010752688172043
ctransferencias_emitidas	0.00240939622585204	0.00813398296493734	0.00883636750771851
mdescubierto_preacordado	0.00230345957179856	0.0125714015382462	0.00340679229213244
ctarjeta_visa_debitos_automaticos	0.00219406567972656	0.0116920009652909	0.00872990524858937
ccaja_ahorro	0.0021926607962838	0.0174791320499437	0.00447141488342383
Visa_cconsumos	0.00208572311621054	0.00772243632441573	0.0123496220589801
ccajas_consultas	0.00197706291998181	0.0189253873286785	0.00383264132864899
mplazo_fijo_dolares	0.00195619104657746	0.0169489268033701	0.00404556584690727
ctarjeta_debito	0.00169142353036477	0.00461391645222844	0.00532311295645694
ctarjeta_master_transacciones	0.00161039548484406	0.00167876834772097	0.00223570744171191
Visa_mpagosdolares	0.00159837543332124	0.00946690272763367	0.0046843394016821
mttarjeta_visa_debitos_automaticos	0.0013244919337621	0.00429729980401489	0.00585542425210263
Visa_mpagado	0.00126439046046807	0.0103521670897632	0.00511018843819866
mforex_sell	0.00121115357251921	0.00146627668501459	0.00202278292345364
active_quarter	0.00118420875679857	0.00326772780782876	0.00276801873735761
Master_mpagospesos	0.00117040910572799	0.00469812568531482	0.00755882039816885
Master_cconsumos	0.00112793825034363	0.00584875214417903	0.00532311295645694
catm_trx	0.00107237893926887	0.00407805872419852	0.00361971681039072
cplazo_fijo	0.000994253332817165	0.00459586207220586	0.00159693388693708
cpagomiscuentas	0.000926814666445678	0.00339202025053843	0.00383264132864899
Master_mconsumospesos	0.000915176398265334	0.00430168443916323	0.00564249973384435
Visa_msaldodolares	0.000760961294074466	0.00435758154550508	0.00372617906951986
tcuentas	0.000746014933621843	0.000318916173379934	0.000425849036516555
cseguro_vida	0.000720228086637721	0.00413989419890924	0.00159693388693708
cextraccion_autoservicio	0.000708256230111429	0.0029671456864511	0.00457787714255297
Master_mpagado	0.000675155528067864	0.00379925372763983	0.00244863195997019
catm_trx_other	0.000665230792606818	0.00209933285585454	0.0019163206643245
mextraccion_autoservicio	0.000616259139413793	0.00339654782914306	0.00404556584690727
cinversion2	0.000572864401848964	0.0111935322734799	0.00170339614606622
ctarjeta_visa	0.000567487698788239	0.00312076018249865	0.00106462259129139
internet	0.00053171698516281	0.00172182851019479	0.00159693388693708
Master_mpagosdolares	0.000438461962119318	0.00173498552310625	0.00117108485042053
Master_mconsumototal	0.000419091702966874	0.00167138189999056	0.00266155647822847
cforex_sell	0.000382905441715062	0.000389092088018477	0.000638773554774832
minversion2	0.000365245143951998	0.0053173505230256	0.00085169807303311
mcheques_depositados	0.000348159586009967	0.00124277837617396	0.000638773554774832
Master_msaldodolares	0.000344473753668594	0.00174699277343453	0.00159693388693708
cforex	0.000334011887191297	0.000424318327594376	0.000532311295645694
ccajas_extracciones	0.000331370510694769	0.00126363258345994	0.00180985840519536
matm_other	0.000299506985136481	0.00189123825816226	0.0019163206643245
Master_mconsumosdolares	0.000299408686750533	0.00111868791878296	0.00170339614606622
mcaja_ahorro_adicional	0.00028978169826395	0.00243367760011436	0.00202278292345364
ctarjeta_master_debitos_automaticos	0.000250667355306744	0.00139796214277424	0.00149047162780794
ctarjeta_master	0.000249477309160592	0.000240014492974884	0.000958160332162248
mttarjeta_master_debitos_automaticos	0.000197863887457042	0.000567995145963401	0.000638773554774832
ccheques_emitidos	7.71212241331882e-05	0.00028589623497719	0.000212924518258277
ccheques_depositados	6.74398332600544e-05	0.000222559853975429	0.000212924518258277
cseguro_vivienda	6.11465614184987e-05	0.000161790240253985	0.000106462259129139
cinversion1	2.64992861409201e-05	0.000128537241868162	0.000106462259129139
Master_delinquency	1.01337148643612e-05	1.36075955454183e-05	0.000106462259129139
Visa_madelantopesos	9.24498930230413e-06	1.02484243226283e-05	0.000106462259129139
ccajas_depositos	8.9395873148438e-06	0.000136986443121414	0.000106462259129139
minversion1_pesos	7.55518095683628e-06	0.000103972719651553	0.000106462259129139
