fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia
20211017 212556	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	78	TRUE	0.0634381065384618	0.611828239035926	6229	956	0.0250091855716659	52.5508058756324	27.853689361031	5827500
20211017 212632	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	110	TRUE	0.0451752191509253	0.937477007747761	2862	592	0.0249987242491059	65.076337121926	142.294119617769	5918750
20211017 212702	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	99	TRUE	0.0986269041981515	0.672866243336882	4292	364	0.0250048269978116	24.1204269380043	113.958983986439	6230000
20211017 212844	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	156	TRUE	0.0253000336503776	0.561642857547849	1475	642	0.0250003919036557	61.764722991003	51.146749034524	6138750
20211017 212950	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	182	TRUE	0.0773914816512427	0.511853553607528	5167	109	0.0249970396324525	79.8924726916344	157.678796221236	4097500
20211017 213038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	56	TRUE	0.0582713527584981	0.523990463359015	1249	778	0.0249954256877531	42.8636770720394	115.403501867383	5947500
20211017 213138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	70	TRUE	0.0673770587895498	0.57417287430726	4075	153	0.0249971734307628	26.237601111643	60.6978893063829	6243750
20211017 213212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	99	TRUE	0.0476798963126826	0.988587770923706	3482	823	0.0249999490181565	34.722312246283	197.24039865957	6068750
20211017 213341	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	231	TRUE	0.0346708625611583	0.827805783972144	6845	590	0.025008208141893	18.6366654757876	75.1706133762907	6250000
20211017 213455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	150	TRUE	0.0816056035938839	0.269154155380758	3774	862	0.0249919917872826	4.85733092895576	80.7523227363293	7058750
20211017 213648	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	568	TRUE	0.0189405024801714	0.644904902544139	142	747	0.0249958146224297	93.8225754669734	131.728713550339	4040000
20211017 214944	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	1781	TRUE	0.0114763672004587	0.29558891698585	3294	179	0.0249949180343306	2.09238997028608	15.2863344942619	7116250
20211017 215036	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	236	TRUE	0.0377723777333241	0.724439072243071	6893	283	0.0250027980161139	70.6091828793952	1.02892569598875	4242500
20211017 215153	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	202	TRUE	0.0571972256171284	0.403854987863451	5137	488	0.0250010706132634	98.1616005534306	179.752604603501	682500
20211017 215340	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	171	TRUE	0.0307719439193274	0.351579924446664	2180	239	0.024993001543172	48.539845290361	124.714818332411	6143750
20211017 215453	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	160	TRUE	0.0930412797479325	0.459047436667606	2517	469	0.0250028983121345	30.2801185437212	164.714624420074	6410000
20211017 215516	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	116	TRUE	0.0877025308490764	0.773011761258489	5836	202	0.0249908361880295	76.4769775468657	42.1462417114526	3993750
20211017 215544	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	129	TRUE	0.070093204973382	0.950603719035696	4654	681	0.0250067329812951	72.8470682241355	148.152472255086	4670000
20211017 215627	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	94	TRUE	0.0856331135078134	0.31834356413622	6358	429	0.0250021154915425	54.5910453282496	49.4952750525304	6296250
20211017 215801	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	283	TRUE	0.0138974280535643	0.867773095385304	2577	381	0.0250061605563562	36.4492550483971	172.735744210825	6113750
