Feature	Gain	Cover	Frequency
ctrx_quarter	0.0681456074093998	0.0107898313220124	0.00508361204013378
V5	0.0459281202656393	0.005093012715046	0.00682274247491639
V36b	0.0421015733701462	0.0023060199163806	0.0022742474916388
ctarjeta_visa_transacciones	0.0346516000970732	0.00361303680133512	0.00294314381270903
V106	0.0324998654743266	0.00171380892528145	0.00173913043478261
V40	0.0308316323093147	0.00314017763701515	0.0020066889632107
V7	0.0299180093430604	0.00691434648742833	0.00321070234113712
cpayroll_trx	0.0245917339725766	0.00650174041962956	0.00187290969899666
V28	0.0164959639743697	0.0066718632639116	0.0020066889632107
mprestamos_personales	0.0155250634171245	0.0097799838785367	0.0042809364548495
mvr_msaldopesos	0.0120335231189925	0.0037607836269801	0.00321070234113712
cliente_edad	0.00980607623899466	0.0183590259798657	0.0179264214046823
mactivos_margen	0.00959163503003736	0.0120123504049074	0.00936454849498328
mcuentas_saldo	0.00958946716906146	0.00396244206972651	0.00508361204013378
mrentabilidad_annual	0.00900072229894699	0.00955441829949866	0.0105685618729097
V55	0.00891580937222474	0.00837512917825657	0.00575250836120401
mv_msaldopesos	0.00867779947023414	0.00612717117230487	0.00294314381270903
V20	0.00832926394618328	0.0017553540547121	0.00107023411371237
mtarjeta_visa_consumo	0.00822788618876053	0.00762423050110666	0.00347826086956522
Visa_fechaalta	0.00818979878995535	0.00738006847338992	0.0128428093645485
mtransferencias_recibidas	0.00792828380604355	0.0107926222963197	0.00896321070234114
Master_fechaalta	0.00719120151500935	0.00738975550516517	0.0121739130434783
Visa_Fvencimiento	0.00639685175464865	0.00770914725071339	0.0104347826086957
chomebanking_transacciones	0.00637320686986533	0.0112964142568779	0.0124414715719064
V101	0.00632700242928577	0.00455323044757179	0.00535117056856187
V52	0.00630558948232317	0.00266997683051279	0.00508361204013378
mv_fechaalta	0.00629830538559709	0.0091803945881887	0.011371237458194
mv_mpagominimo	0.00623014491677613	0.00268788307064247	0.00267558528428094
mv_status01	0.00613538919710827	0.00451337316437454	0.00120401337792642
V21	0.00594695125870935	0.00347011540751097	0.00147157190635452
numero_de_cliente	0.00588607067257886	0.00729994701549272	0.0108361204013378
V73b	0.00553848221907299	0.00441900748987191	0.00214046822742475
V102	0.00537460038498951	0.00667528718055649	0.0100334448160535
V102b	0.00523827845744871	0.00505777289690155	0.008561872909699
thomebanking	0.0048526306048247	0.00232321183587222	0.00267558528428094
V46	0.00467639477466053	0.00695553596354551	0.00508361204013378
Visa_status	0.00463916582687161	0.00322164937189907	0.000802675585284281
V50	0.0046093920723654	0.00328198083270967	0.0082943143812709
cproductos	0.00457439902199269	0.00686087491595204	0.00521739130434783
Master_mfinanciacion_limite	0.00453273966020152	0.0084679426370267	0.00882943143812709
mcuenta_debitos_automaticos	0.00446522204093639	0.00727086783610017	0.00414715719063545
V89b	0.00446291312191832	0.00341545932966017	0.00521739130434783
V10	0.00432256859204314	0.00287344669394897	0.00334448160535117
V91b	0.00413389091121605	0.00385503476905975	0.00789297658862876
V6	0.00408249665946795	0.00594200539846767	0.00682274247491639
Master_Fvencimiento	0.00407877574374962	0.00806624126150013	0.00923076923076923
V54b	0.00390435797399229	0.00270760374547305	0.00682274247491639
cliente_antiguedad	0.00385047464027555	0.00354953460081463	0.00722408026755853
V47	0.00384220566620681	0.00322278866810661	0.00561872909698997
mcaja_ahorro	0.0038393804827269	0.00465256019840729	0.00521739130434783
V83	0.00375522214423115	0.00505679635729508	0.00668896321070234
V49	0.00367118128990661	0.00440784359264244	0.00682274247491639
V23	0.00359718362412882	0.000228031040143259	0.000535117056856187
ccallcenter_transacciones	0.00358355352990399	0.00485815192567974	0.00173913043478261
V104	0.00358060011310671	0.00416293107615406	0.00602006688963211
V50b	0.00354924666385909	0.00300833876211995	0.00695652173913044
mvr_msaldopesos2	0.00343930684988192	0.00396513358166655	0.00575250836120401
V111	0.00343326695635925	0.0028424445754548	0.00602006688963211
mv_status04	0.00340056766700869	0.000460043588990659	0.000535117056856187
V11b	0.00339182960901427	0.00329737338755604	0.0062876254180602
V52b	0.00338268635313602	0.00345341778584485	0.00602006688963211
V103	0.0033582161578629	0.00396530538030102	0.00802675585284281
mpasivos_margen	0.00332488781189804	0.00278444294524852	0.0042809364548495
Visa_cconsumos	0.00332396120475595	0.00414764702570841	0.00602006688963211
Visa_msaldototal	0.00329975110104897	0.000918483724059589	0.00160535117056856
Master_mlimitecompra	0.00329237718354843	0.0061981571624638	0.0062876254180602
mv_status02	0.00326653187183993	0.00494811714393101	0.00133779264214047
mv_Fvencimiento	0.00325797680474561	0.00292902505920588	0.00642140468227425
mv_cconsumos	0.0032262214762851	0.00302704070118823	0.00187290969899666
V54	0.00313550890463832	0.00879827222896956	0.00535117056856187
V37b	0.00313439946503851	0.00996136405439328	0.00602006688963211
mrentabilidad	0.0030485979217281	0.00274121901161786	0.00441471571906355
V84b	0.00299832989520107	0.00441891405552685	0.00575250836120401
mvr_Master_mlimitecompra	0.00299443494396394	0.00336074297158675	0.00588628762541806
tcallcenter	0.0029166330700282	0.00231727423394401	0.00147157190635452
Visa_mconsumospesos	0.00289886218641644	0.00698091996529137	0.00548494983277592
V22	0.0028897856179147	0.00238374222141747	0.000668896321070234
Visa_msaldopesos	0.00285684751413227	0.00123130191133094	0.00254180602006689
V34b	0.0027968013599582	0.00231702407102013	0.00468227424749164
V39b	0.00279201167359083	0.0024013139063116	0.00494983277591973
V69	0.00276631368422488	0.00356638593704844	0.00548494983277592
V85b	0.00274591253967006	0.00118011797430313	0.0042809364548495
mvr_mpagominimo	0.00274121416889925	0.00241003042650265	0.00361204013377926
ccomisiones_otras	0.00273853357781572	0.00132154441860626	0.00187290969899666
V56	0.00273089901021669	0.00710056113713914	0.00561872909698997
V92	0.00266688865936807	0.00277564504675693	0.00535117056856187
V12	0.00265806300914551	0.00343675331830117	0.00387959866220736
V107b	0.00262419182457939	0.00455786599669138	0.00521739130434783
V93	0.00252440660684149	0.00428261143014653	0.00602006688963211
mv_fultimo_cierre	0.00251246462117836	0.0112066178232499	0.00414715719063545
Visa_mconsumosdolares	0.00249900222803017	0.00235386432907518	0.0040133779264214
Master_status	0.00247363915546244	0.00352536825956572	0.000936454849498328
