fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	prob_corte	lambda_l2	ganancia
20211011 032653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	28	TRUE	0.0208277746346513	0.989222721695634	4492	403	0.493970803858247	0.0212857425262337	2.18559672029057	5063750
20211011 034003	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	387	TRUE	0.0145564515068794	0.588722069854183	1403	240	0.334467912508574	0.0457105312700151	3.28695345158589	8125000
20211011 034643	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	260	TRUE	0.0807872373428628	0.444006486742624	6373	134	0.127519892096253	0.0373614918757812	0.67788344429573	8136250
20211011 035042	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	258	TRUE	0.0986837132286746	0.788124842609146	7323	784	0.665362580072334	0.0419435712017003	4.800112249338	7672500
20211011 035528	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	252	TRUE	0.0244418997022357	0.279222992255486	4917	878	0.629105450011723	0.031496654318471	4.4564569943967	6925000
20211011 035936	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	220	TRUE	0.0424736299986918	0.705663415902693	4815	969	0.00131496320578403	0.0534905381975113	0.11199896801762	8090000
20211011 040342	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	273	TRUE	0.0595153976733231	0.909745519415343	6587	56	0.82204592198832	0.0549343911668984	2.00320371480692	7721250
20211011 040644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	85	TRUE	0.0937400782085855	0.742214633497809	218	597	0.395286137994844	0.0225890502758557	2.59385674576541	7223750
20211011 041623	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	100	TRUE	0.0137295856115759	0.780953277316946	14	855	0.00854470291070937	0.047259451062562	3.82392084113061	6556250
20211011 041914	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	140	TRUE	0.07647427649174	0.87702059689064	3712	689	0.994656612709617	0.0455379802479052	1.70205496193675	7946250
20211011 044134	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1163	TRUE	0.0103774159038557	0.498934522727487	2496	69	0.731378001606639	0.0457503360697222	3.82023211424038	8095000
20211011 044339	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	100	TRUE	0.0967298158232502	0.323463168889026	6149	386	0.00786340449799352	0.0430128759677488	0.0505134902460166	7540000
20211011 045113	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	262	TRUE	0.031002369541314	0.631775820865928	3513	603	0.648226727738686	0.0524895950567604	3.36125111616868	8208750
20211011 050322	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	625	TRUE	0.0132364748180174	0.844879866693049	3507	370	0.443655799596293	0.0521736841502855	0.960113951517131	7987500
20211011 050833	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	278	TRUE	0.0379285417853905	0.798638364885008	2721	320	0.953372073249197	0.0485580694147014	4.89131941073303	7871250
20211011 052355	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	981	TRUE	0.0123631462998425	0.683178223576211	4557	820	0.788353730928016	0.0524082092995403	1.72227871485505	7925000
20211011 052755	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	239	TRUE	0.0644101733339208	0.875893181678513	4135	668	0.306667420032032	0.0511607603475351	2.45316942723204	7787500
20211011 054358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	776	TRUE	0.0124944184903803	0.494148464456767	2969	587	0.795647742980457	0.0456329062896282	2.84669151195626	8203750
20211011 054932	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	241	TRUE	0.0355744009672929	0.591149297921284	3831	40	0.0277273675976809	0.0424431890687096	3.25856974553087	8010000
20211011 060730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	964	TRUE	0.0109408330538425	0.224842528517193	2697	511	0.361016124179061	0.0549459784439445	3.2272845234346	8246250
20211011 061617	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	354	TRUE	0.0339526644534443	0.462147816831843	2525	627	0.662033849665931	0.0549849798560933	2.15507052650626	8095000
20211011 063751	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1205	TRUE	0.0105953476872078	0.265644589217487	3089	162	0.126764316860753	0.0526135895845062	3.55741070240781	8286250
20211011 064743	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	621	TRUE	0.0232783739934988	0.345574812341565	5435	459	0.0291789840527855	0.0549974044211054	4.11538982401933	8112500
20211011 065427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	364	TRUE	0.0278421127519567	0.384194644861143	3353	46	0.351228160219475	0.0535627447307485	3.52294885766906	8e+06
20211011 065822	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	21	TRUE	0.0901673041499655	0.68606543586822	0	1016	0.994432160368754	0.0285010031917203	1.77667344875259	5755000
20211011 070203	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	244	TRUE	0.0834718734404758	0.749963435521356	6651	21	0.115679855318718	0.0423168561743265	2.95102222157049	8051250
20211011 070727	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	311	TRUE	0.0401645501096288	0.825691053612462	3709	965	0.885587390377295	0.0429721312659867	0.0713757232934863	8230000
20211011 071523	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	473	TRUE	0.0411959742827094	0.60630813610257	3362	764	0.821022550437314	0.0432431562904885	3.34106139811784	7900000
20211011 072429	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	635	TRUE	0.0167646835939833	0.219486596510657	1773	514	0.963904004885953	0.0501479886974029	2.98026456928395	7995000
20211011 072702	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	132	TRUE	0.099114293943739	0.971648299930304	4678	69	0.215647259113637	0.0374469006936076	0.00362894878975945	7887500
20211011 074413	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1352	TRUE	0.0100580979974079	0.244503276835672	3667	241	0.0249151607746462	0.0470363385118638	4.67325489032223	8053750
20211011 075231	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	615	TRUE	0.0349813382147626	0.974500582581693	6200	1023	0.825239432370131	0.046781324271056	0.264344761857309	7753750
20211011 075931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	355	TRUE	0.026825605654214	0.969681431920358	2452	619	0.924451038251251	0.0446050270302872	0.011359144472096	8037500
20211011 080429	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	311	TRUE	0.0552155056888112	0.354403585626891	3846	1018	0.200649635724471	0.0418404214268777	0.217519600663903	7968750
20211011 082328	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	650	TRUE	0.013075241395537	0.448827664082402	3267	543	0.0456608190225781	0.0533765850582508	4.18901886163759	8376250
20211011 082707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	101	TRUE	0.0966434765883831	0.728114570550121	5339	230	0.993397616006048	0.0370483870190253	0.00449519912308531	7598750
20211011 083035	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	95	TRUE	0.0501839991248459	0.460206569584445	1976	94	0.000695779441747117	0.0462272109315812	0.498972405503423	7917500
20211011 091716	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	3273	TRUE	0.0101281816152267	0.516952804458148	7892	128	0.304039849379479	0.0517924734603119	3.65998400382124	7601250
20211011 092621	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	468	TRUE	0.0199529545134776	0.404182383559991	3257	512	0.00666299445195211	0.0530842534386328	3.01133180723765	7917500
20211011 094443	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	653	TRUE	0.0100837594436262	0.576082951131617	3656	627	0.14124727315992	0.0548175846460836	4.997358975146	7938750
20211011 095554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	798	TRUE	0.0113756376851176	0.201294331759312	2547	541	0.272356720339722	0.0520352183628618	4.21283812076925	8188750
20211011 103048	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	665	TRUE	0.012235269618219	0.422797030644459	1048	733	0.765762560955307	0.0449447543012501	0.48777472062498	7953750
20211011 103718	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	185	TRUE	0.0898283341321098	0.341615908975605	2897	221	0.0649767653682851	0.053314344201371	4.29582844298951	7583750
20211011 105001	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	389	TRUE	0.0112188817107846	0.542797043429373	3013	18	0.163528133545042	0.0416546720145622	0.480738380547593	8030000
20211011 111606	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1307	TRUE	0.0100176057825864	0.474238526862371	4697	550	0.121171168061952	0.0480100780613085	4.00760107102833	7775000
20211011 111949	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	122	TRUE	0.0580910117172639	0.618239766390299	3515	64	0.275192553174433	0.045033141167896	0.833191212388378	7710000
20211011 112558	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	262	TRUE	0.0456605977558001	0.744643851975627	2707	1022	0.977315388032739	0.0529857213096822	0.184980895357737	8291250
20211011 114332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1029	TRUE	0.0100673755394086	0.671958468509212	2990	432	0.830229203397062	0.0541812925109138	3.91874611945192	7997500
