fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20211005 123159	-0.523576788428181	2683	1069	9	5	3453750
20211005 123402	-0.496357025428733	4320	832	18	5	2977500
20211005 123523	-0.232695369127032	6517	242	15	5	1996250
20211005 123616	-0.3159575806465	2349	712	3	5	3265000
20211005 123839	-0.899462952905742	5908	1907	10	5	1991250
20211005 124143	-0.10611117775843	557	266	8	5	3800000
20211005 124320	-0.751180508524703	3454	892	18	5	3353750
20211005 124404	-0.628577717853477	4707	456	7	5	2683750
20211005 124424	0.0243772419809831	6237	1294	5	5	0
20211005 124510	-0.277720613566635	3857	1678	17	5	2595000
20211005 124554	-0.860610295226797	7150	1423	20	5	2308750
20211005 124613	-0.698915341598331	7853	1529	4	5	2368750
20211005 124635	0.0544751748631827	5007	2	13	5	0
20211005 124900	-0.160842953327422	2140	110	19	5	3658750
20211005 125019	-0.807787844352424	3521	851	13	5	3426250
20211005 125140	-0.595191041892394	7569	1387	7	5	2368750
20211005 125625	-0.304324924052121	846	178	19	5	4405000
20211005 130020	-0.511569677263839	961	1	15	5	3297500
20211005 130323	-0.229403443844287	510	253	20	5	3528750
20211005 130527	-0.339002577212492	1314	3	20	5	3036250
20211005 130643	-0.146219550693627	877	420	15	5	3318750
20211005 130725	-0.307785097574138	675	224	7	5	4012500
20211005 130836	-0.455858995755707	277	138	16	5	1498750
20211005 131146	-0.293977690165146	95	35	19	5	-1748750
20211005 131510	-0.303974598937843	2814	182	12	5	3338750
20211005 131945	-0.290423144272945	1339	174	20	5	4578750
20211005 132259	-0.423206043463598	2203	174	20	5	4361250
20211005 132429	-0.11516214882699	5597	175	20	5	1777500
20211005 132538	-0.346165090460458	783	172	16	5	4263750
20211005 132627	-0.396054086856988	1371	216	8	5	4267500
20211005 132837	-0.49603294496398	3121	223	9	5	3481250
20211005 133120	-0.32089858074425	1854	210	20	5	4301250
20211005 133203	-0.271586549611519	581	212	4	5	3420000
20211005 133310	-0.375360809138073	696	220	15	5	3760000
20211005 133420	-0.440827136818716	4784	203	19	5	2026250
20211005 133659	-0.327115844828424	6051	215	13	5	1777500
20211005 133941	-0.418261224392061	509	236	5	5	3090000
20211005 134241	-0.341066907963307	1487	171	20	5	4226250
20211005 134356	-0.158393599695353	1051	166	9	5	4371250
20211005 134643	-0.225841657008244	1185	262	17	5	4193750
20211005 134940	-0.556176546557831	1120	150	10	5	4078750
20211005 135247	-0.330465939688117	2172	249	8	5	4151250
20211005 135629	-0.277063293636678	1255	182	12	5	4190000
20211005 135851	0.0948693567676817	848	256	6	5	0
20211005 140034	-0.175885403980151	1022	180	20	5	4132500
20211005 140131	-0.288882658728061	1545	729	20	5	3418750
20211005 140218	-0.55449883375461	1838	173	10	5	4238750
20211005 140305	-0.298939501098558	1834	227	10	5	4245000
20211005 140418	-0.234900925513533	1119	164	18	5	4032500
20211005 140508	-0.477916380796369	2074	289	11	5	4193750
20211005 140703	-0.305660263042721	1325	251	20	5	4612500
20211005 140834	-0.416264437773825	2639	1	20	5	2542500
20211005 140925	-0.330911164046927	1381	271	11	5	4471250
20211005 140952	-0.467001567415977	2099	163	5	5	3415000
20211005 141103	-0.564008820050212	2235	254	20	5	4305000
20211005 141211	-0.291297729009857	2113	327	20	5	4375000
20211005 141321	-0.551081027561962	1698	289	20	5	4273750
20211005 141451	-0.426783816811993	2353	441	20	5	4708750
20211005 141557	-0.409553423683924	2329	334	20	5	4263750
20211005 141656	-0.528288373296733	2159	542	16	5	4518750
20211005 142045	-0.423911171469811	1950	495	9	5	4337500
20211005 142214	-0.448657640953327	2197	480	20	5	4582500
20211005 142315	-0.521415937328889	2787	454	17	5	3838750
20211005 142445	-0.425275231284228	2388	526	14	5	4713750
20211005 142542	-0.489726867801917	2363	467	14	5	4708750
20211005 142634	-0.620129795385123	1904	437	11	5	4040000
