fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20211005 190623	-0.523576788428181	2683	1069	9	5	3881250
20211005 190750	-0.496357025428733	4320	832	18	5	3253750
20211005 190918	-0.232695369127032	6517	242	15	5	2531250
20211005 190952	-0.3159575806465	2349	712	3	5	3666250
20211005 191058	-0.899462952905742	5908	1907	10	5	2155000
20211005 191228	-0.10611117775843	557	266	8	5	4092500
20211005 191415	-0.751180508524703	3454	892	18	5	3863750
20211005 191537	-0.628577717853477	4707	456	7	5	2313750
20211005 191642	0.0243772419809831	6237	1294	5	5	0
20211005 191911	-0.277720613566635	3857	1678	17	5	2933750
20211005 192118	-0.860610295226797	7150	1423	20	5	2630000
20211005 192217	-0.698915341598331	7853	1529	4	5	2630000
20211005 192322	0.0544751748631827	5007	2	13	5	0
20211005 192741	-0.160842953327422	2140	110	19	5	4405000
20211005 193000	-0.807787844352424	3521	851	13	5	3852500
20211005 193131	-0.595191041892394	7569	1387	7	5	2630000
20211005 193619	-0.359089628874054	1442	112	20	5	4676250
20211005 193936	-0.870144085366466	1720	4	15	5	4062500
20211005 194258	-0.236695068653206	1485	736	20	5	4923750
20211005 194541	-0.230471103315221	785	391	20	5	4375000
20211005 194748	-0.356052545888726	1794	896	20	5	4190000
20211005 195203	-0.111275106355565	1403	171	19	5	5472500
20211005 195257	0.0987796233648708	1367	109	20	5	0
20211005 195548	-0.119068330119743	1332	663	20	5	4738750
20211005 200043	-0.108783241359366	14	3	20	5	835000
20211005 200248	-0.131388091158018	1419	2	8	5	4096250
20211005 200627	-0.148584719389499	1455	45	17	5	3915000
20211005 200840	-0.525816740081995	3943	1857	19	5	2408750
20211005 201104	-0.561491682790709	4872	586	17	5	1587500
20211005 201325	-0.393918587264884	6172	738	20	5	2566250
20211005 201547	-0.312804659471288	2961	1262	17	5	3852500
20211005 201806	-0.32843851632413	6835	661	18	5	2630000
20211005 202034	-0.51837729078175	3379	1086	20	5	3513750
20211005 202126	-0.392070066223387	3653	1090	3	5	3656250
20211005 202403	-0.443246864704019	2272	622	15	5	4882500
20211005 202625	-0.570471127506928	6861	277	16	5	2630000
20211005 202719	-0.37376698315565	4185	1269	4	5	2506250
20211005 202926	-0.16666647561104	5417	773	14	5	1528750
20211005 203146	-0.972206154841674	3351	839	14	5	3926250
20211005 203301	-0.695840582908201	4117	1656	5	5	2933750
20211005 203507	-0.381288750416879	6240	1849	20	5	2630000
20211005 203732	-0.367976774864993	2973	1228	15	5	3852500
20211005 204047	-0.140053366321977	555	173	17	5	2588750
20211005 204235	-0.137022181094997	7939	1432	19	5	2630000
20211005 204459	-0.670076409242046	5685	84	17	5	1850000
20211005 204641	-0.759408437417145	2908	524	10	5	4937500
20211005 204847	-0.0896206610557132	2039	82	17	5	4085000
20211005 205154	-0.46458948421672	1383	1	18	5	4432500
20211005 205525	-0.264694917984723	1188	85	19	5	3972500
20211005 205617	-0.360434695045277	7902	716	3	5	2630000
20211005 205846	-0.862884691739338	5440	550	20	5	1536250
20211005 210021	-0.380038499209937	6202	843	7	5	2630000
20211005 210222	-0.170799383900873	6938	1968	15	5	2630000
20211005 210425	-0.620068948029378	2904	1125	10	5	3727500
20211005 210529	-0.884398465507361	5481	1207	4	5	1480000
20211005 210719	-0.124519913799339	7691	1039	12	5	2630000
20211005 210810	0.0399046985161184	7272	1737	13	5	0
20211005 211007	-0.740135512690153	1923	455	12	5	5060000
20211005 211204	-0.780453842337875	2215	454	11	5	4930000
20211005 211522	-0.425995492236273	2799	13	18	5	3366250
20211005 211747	-0.474588365862137	1518	646	13	5	4768750
20211005 211941	-0.740968257015183	1596	787	9	5	4461250
20211005 212134	-0.753259906668718	2331	1091	14	5	4208750
20211005 212326	-0.719418508435691	2446	53	11	5	3916250
20211005 212542	-0.456731356092641	1499	359	20	5	4975000
20211005 212740	-0.76271066288012	936	276	12	5	4206250
20211005 212959	-0.409724413638747	1033	505	14	5	4710000
20211005 213202	-0.431273518960751	2057	852	11	5	4178750
20211005 213434	-0.109539579041906	1681	572	19	5	5137500
20211005 213526	-0.453488658876001	1836	389	3	5	3635000
20211005 213852	-0.421155598251872	441	220	20	5	2581250
20211005 214117	-0.357267278170965	1308	169	14	5	5368750
20211005 214332	-0.464946835197542	2330	1161	20	5	4087500
20211005 214638	-0.0991813026457329	1427	107	17	5	4598750
