fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	max_bin	ratio_corte	iteracion_bayesiana	ganancia
20211014 210959	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	46	TRUE	0.0591880201282246	0.31404532617723	6439	401	7	73	18	0.0354508528891441	1	7680874.9582625
20211014 211016	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	7	TRUE	0.0282605465474938	0.74143302938402	5160	179	11	23	46	0.0356038139745283	2	7681374.9551875
20211014 211039	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	35	TRUE	0.0772911391194378	0.762671857959192	414	415	6	80	40	0.0288650289847326	3	7881499.9583125
20211014 211106	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	52	TRUE	0.0544820918302451	0.64886421097825	3104	473	2	35	64	0.0318562677172168	4	8210624.95685
20211014 211124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	54	TRUE	0.0422136116047789	0.487815679198164	5458	563	17	11	12	0.0509211657032041	5	4581124.954425
20211014 211137	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	12	TRUE	0.0358576650864312	0.6864241187178	4160	789	18	37	52	0.0318732633935122	6	8110874.9574
20211014 211207	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	116	TRUE	0.0541851109126583	0.841728778719802	3456	938	11	59	23	0.0344353613350152	7	7710624.9575875
20211014 211224	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	40	TRUE	0.0762602851433413	0.472387876293422	1495	148	9	62	38	0.0325615882171942	8	7927499.95575
20211014 211239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	43	TRUE	0.0904656308570078	0.36191517177753	7772	820	13	57	16	0.0428779627011347	9	6835624.9545875
20211014 211254	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	44	TRUE	0.0692091588190358	0.268420327639407	1821	699	12	44	9	0.0267745609291363	10	1672499.9811625
20211014 211332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	TRUE	0.0681288139402334	0.333202407237176	7419	350	4	31	28	0.0352808961559322	11	7825124.9537625
20211014 211417	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	24	TRUE	0.0325483271845483	0.190786999124768	7690	622	10	67	48	0.0366702925520199	12	7779624.9553
20211014 211530	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	54	TRUE	0.0467763687384182	0.227856700095747	1519	736	12	47	60	0.0307048107616472	13	7872624.9575375
20211014 211641	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	97	TRUE	0.0953494817384386	0.908569974739138	6070	205	15	19	44	0.0337980235436187	14	7869624.955725
20211014 211725	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	11	TRUE	0.0979648490522855	0.538510552934271	840	849	14	76	36	0.0302183095742161	15	8208249.9571375
20211014 211902	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	25	TRUE	0.0501424960499363	0.80437001351633	131	286	1	26	33	0.0336025732872533	16	8136874.9553375
20211014 211948	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	29	TRUE	0.0390515373880044	0.560309942598022	4702	249	20	70	21	0.035693041260633	17	7866874.9554
20211014 212239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	193	TRUE	0.0204672412421288	0.600382833097995	2149	21	0	86	56	0.0311169558727215	18	8096624.95675
20211014 212345	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	55	TRUE	0.086950474003596	0.418385827002515	5874	911	5	10	42	0.0292346849048558	19	7838124.958525
20211014 212421	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	TRUE	0.0656948771274516	0.815605078958574	6773	505	15	83	59	0.0310149818245089	20	8040124.95705
20211014 212512	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	TRUE	0.0722879773338458	0.988370118771646	4413	524	0	53	10	0.0552763073098973	21	2843124.9567875
20211014 212549	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	23	TRUE	0.0622812462418473	0.229942526551895	5626	960	19	90	25	0.034528837547417	22	7789624.9569
20211014 212634	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	18	TRUE	0.0914446909466226	0.153393768717901	3655	298	4	42	63	0.0331734325003086	23	8011499.9560875
20211014 212738	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	45	TRUE	0.0853862267539704	0.88623547413902	2587	633	19	4	33	0.0332159216882853	24	8275874.955875
20211014 212850	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	82	TRUE	0.0300165427748912	0.423671039377639	3964	104	6	1	6	0.00492662117985047	25	337999.99885
20211014 212940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	22	TRUE	0.0449613344037373	0.119827415855668	1151	670	3	94	30	0.0358969893608821	26	7852249.9540875
20211014 213027	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	40	TRUE	0.0812074517990862	0.941645834800355	2837	71	17	99	13	0.0499779057673824	27	5617249.953325
20211014 213150	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	73	TRUE	0.0248017051829291	0.631694629308601	7031	997	8	15	53	0.0334326165391702	28	8041374.9559625
20211014 213233	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	11	TRUE	0.0732987849459003	0.972146219494395	3635	553	9	95	33	0.0345458332277489	29	8123124.9553125
20211014 213331	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	24	TRUE	0.09284641812411	0.795217308136465	3474	504	1	36	55	0.0284698795499537	30	7958874.9582125
20211014 213416	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	6	TRUE	0.0361604046508409	0.714918143650811	5930	929	16	32	35	0.0337257919282858	31	8280124.9554625
20211014 213527	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	52	TRUE	0.0274105691196109	0.741787176170696	6461	13	1	23	61	0.0339509846149815	32	7878124.9557
20211014 213613	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	11	TRUE	0.0748382831814405	0.871414016602359	2478	1023	7	14	35	0.0337257919272236	33	8249374.95485
20211014 213700	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	9	TRUE	0.049423295612624	0.759980438213611	139	844	19	45	34	0.0322216747212404	34	8135749.9569125
20211014 213810	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	37	TRUE	0.0238336050003564	0.53594414891911	4320	850	2	86	59	0.0314143801772994	35	8064374.955675
20211014 213842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	4	TRUE	0.0978304021754193	0.708138798928202	6209	600	15	29	35	0.0330927030466155	36	8215624.955175
20211014 214002	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	97	TRUE	0.0471184302645394	0.957150236789553	6601	225	13	99	23	0.0359182339520025	37	7634499.9550625
20211014 214055	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	34	TRUE	0.0595684957934295	0.34256283239755	3905	807	12	13	33	0.0345033440406219	38	8105624.9553375
20211014 214218	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	82	TRUE	0.0437884721776003	0.829957339851218	3380	18	14	72	61	0.0340784521744505	39	7983999.9557875
20211014 214251	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	8	TRUE	0.078974946611527	0.954135351131414	4174	975	20	47	37	0.0320559668939307	40	8121374.95675
20211014 214338	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	20	TRUE	0.0439192320995249	0.995509665261164	5501	733	7	100	53	0.0303436526743606	41	7980874.958
20211014 214440	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	34	TRUE	0.0998109144130597	0.861307373329576	1181	564	11	54	31	0.0327825319865156	42	7922999.9557375
20211014 214522	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	3	TRUE	0.0323860645546225	0.965552092893746	3703	573	13	0	35	0.03472641227033	43	8208999.9543125
20211014 214622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	21	TRUE	0.0303511922536507	0.60850345857274	4737	851	0	77	35	0.0342462844644838	44	8342499.9559
20211014 214706	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	16	TRUE	0.0428858785017326	0.433824225299615	6911	385	5	100	65	0.0335345905869579	45	8218374.9558125
20211014 214758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	49	TRUE	0.0805328183854869	0.61260191266955	7686	693	18	34	65	0.0310404753334285	46	8218374.957675
20211014 214840	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	16	TRUE	0.0984059513494791	0.712056190955827	5019	1023	7	92	65	0.031686310971683	47	8142624.95755
20211014 215059	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	193	TRUE	0.0202896050186394	0.612604866371691	5375	963	14	47	65	0.0298592759485908	48	8320124.9579375
20211014 215139	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	12	TRUE	0.0477974354741166	0.603981300329082	7986	960	7	55	64	0.0342781513513769	49	8218749.9556
20211014 215246	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	71	TRUE	0.0425160811523525	0.597587129854044	4699	773	20	100	64	0.0310362264183911	50	8237124.9567375
20211014 215422	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	74	TRUE	0.046654106119735	0.930013389132117	5377	603	12	66	65	0.0306410769836123	51	8446999.957075
20211014 215520	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	26	TRUE	0.0580508630053487	0.999832262074014	617	1019	20	52	65	0.0338107702995656	52	8411124.9554
20211014 215724	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	54	TRUE	0.0259419933612569	0.994212808345522	168	610	10	86	65	0.0334156208660615	53	8537374.95555
20211014 215830	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	4	TRUE	0.0214097891458841	0.998783807837265	292	761	12	0	65	0.0317712893444499	54	8483124.9578
20211014 215934	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	16	TRUE	0.0291447863372866	0.991093286767532	242	488	20	30	65	0.0323873825504621	55	8448124.95625
20211014 220026	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	9	TRUE	0.08212661828375	0.998110499775323	214	523	13	61	65	0.0335090970742143	56	8278374.9556875
20211014 220320	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	184	TRUE	0.0203881772403939	0.983145741520021	165	904	18	6	56	0.031758542588503	57	8414374.956725
20211014 220511	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	110	TRUE	0.0234000664464615	0.998543908449542	2327	1001	19	18	63	0.0314781139574588	58	8206124.9568625
20211014 221045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	272	TRUE	0.020019904341284	0.920970316209839	113	1006	10	81	56	0.0310404753366152	59	8275624.956875
20211014 221142	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	27	TRUE	0.089020266374861	0.955952191556039	102	972	15	1	49	0.0301991894334974	60	8200874.9593375
20211014 221231	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	16	TRUE	0.0750315834787431	0.648251357246761	134	117	20	0	54	0.0314802384172081	61	8323499.9576
20211014 221341	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	3	TRUE	0.0217561475293071	0.998186078206832	163	230	12	10	54	0.0277773057997623	62	8058499.959925
20211014 221441	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	30	TRUE	0.077836634308905	0.888928878109696	144	1012	20	7	55	0.0312954104542785	63	8114374.9573875
20211014 221532	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	51	TRUE	0.0997981359090889	0.215815399537949	1418	185	20	0	49	0.0337937746249697	64	7777999.9556875
20211014 221606	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	3	TRUE	0.0822308283675969	0.358557231256817	7819	15	20	0	56	0.0341209413626397	65	7755499.9559125
20211014 221811	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	63	TRUE	0.0201867173486455	0.605669084358138	154	1020	0	76	49	0.0317415469153943	66	8317124.957775
20211014 221856	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	7	TRUE	0.0936590768948869	0.578199522662994	2041	1020	0	99	47	0.0320984560819075	67	7836749.957025
20211014 222130	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	16	TRUE	0.0233612803640656	0.586621907626116	102	932	0	0	52	0.0295958429908677	68	7430874.958825
20211014 222254	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	63	TRUE	0.0206218630404338	0.584702391747855	216	1023	18	87	48	0.03282927008868	69	8041874.956675
20211014 222421	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	92	TRUE	0.0457437763940586	0.923578956444166	7564	1021	0	61	49	0.0317457958319188	70	8175624.9569
20211014 222523	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	16	TRUE	0.0352151007712133	0.792504874988908	105	829	13	80	65	0.0321876833724736	71	8317624.9569125
20211014 222610	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	13	TRUE	0.0216548012572223	0.927743104334679	2088	507	20	31	57	0.0319667396027273	72	8078124.9568125
20211014 222752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	22	TRUE	0.0200995272216958	0.999261907547183	175	421	4	49	65	0.0335430884276549	73	8455624.954875
20211014 222825	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	12	TRUE	0.0320967667169241	0.965888486633164	7960	950	0	21	33	0.0338787529998611	74	8171124.95515
20211014 222842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	20	TRUE	0.020020292814051	0.994122307823565	3866	1010	1	77	44	0.0367340263334539	75	7849124.9550375
20211014 222859	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	43	TRUE	0.0950477179956982	0.984352199964805	143	41	8	60	50	0.0304753691541781	76	8014624.957525
20211014 222927	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	138	TRUE	0.0202366211925493	0.416848144166997	7953	987	2	78	21	0.0330544627677276	77	7894374.9595125
20211014 222940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	18	TRUE	0.0406148305045318	0.524759303761982	7983	1013	5	100	36	0.0306368280632637	78	8239499.9577
20211014 222956	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	26	TRUE	0.0494296009981116	0.999938677320094	209	70	2	100	65	0.0337130451714891	79	8441874.95535
20211014 223026	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	111	TRUE	0.0211133296328869	0.645944876356685	1269	20	8	100	65	0.0325127256508191	80	8366374.9563
20211014 223039	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	25	TRUE	0.0200683588221232	0.228549039254078	7923	16	1	98	34	0.031813778531152	81	8133874.956975
20211014 223057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	43	TRUE	0.0203746932820614	0.57884453717049	7961	680	9	78	32	0.0315758390872348	82	7984874.95775
20211014 223105	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	5	TRUE	0.0920243865249615	0.122856881793901	3408	947	0	97	35	0.033088454130091	83	8111874.9571375
20211014 223117	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	5	TRUE	0.0545814810591022	0.639089207405817	7954	321	0	3	36	0.0331691835820845	84	8294124.956925
20211014 223128	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	11	TRUE	0.0695870446315721	0.91491101124673	7292	8	0	72	35	0.0348432575350886	85	8427124.954825
20211014 223138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	9	TRUE	0.0719752183572029	0.880897059778838	7969	673	0	67	36	0.0326678111795944	86	8255624.956625
20211014 223149	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	8	TRUE	0.0804983697650072	0.870525098428504	5455	8	4	1	34	0.0341676794686282	87	8219624.9551125
