fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	max_bin	ratio_corte	iteracion_bayesiana	ganancia
20211014 200014	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	73	TRUE	0.0201028038236647	0.549183639045838	7999	180	16	18	19	0.0352171623653629	127	7739374.957775
20211014 200058	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	171	TRUE	0.0200275659972606	0.148445388300304	7998	17	14	57	20	0.0336025732749315	128	7821874.958975
20211014 200119	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	56	TRUE	0.083916386157359	0.116711899351554	7823	8	20	21	19	0.0358927404337353	129	7791874.9566625
20211014 200140	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	36	TRUE	0.0446329132027482	0.27432966431283	7188	8	3	1	20	0.0334963503070077	130	7796624.9590625
20211014 200204	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	84	TRUE	0.0972716555364488	0.107619104481222	2942	8	19	53	19	0.0356590499054928	131	7855874.957725
20211014 200227	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	32	TRUE	0.0200655156974252	0.110560274895907	7361	950	8	35	19	0.0358502512470332	132	7915749.9568125
20211014 200245	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	35	TRUE	0.0966644647666616	0.106513126306483	6313	912	20	81	19	0.0368105068653113	133	7820624.955875
20211014 200324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	171	TRUE	0.0258676104281365	0.155887004066202	7625	10	6	23	19	0.0353425054655074	134	7905624.95865
20211014 200348	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	47	TRUE	0.0462520208494213	0.523486309817793	2856	49	2	86	20	0.035297891820968	135	7854624.9573375
20211014 200411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	91	TRUE	0.0956348936214966	0.156744579689138	3950	13	13	0	18	0.0386375418801181	136	7663124.9572125
20211014 200441	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	99	TRUE	0.0200699335376386	0.249796188165079	7345	914	5	90	19	0.0350557034558524	137	7899374.958025
20211014 200514	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	121	TRUE	0.0200110215329438	0.103431549870739	5937	897	10	4	19	0.0358799936752391	138	7896874.9576
20211014 200541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	95	TRUE	0.0200035296699108	0.149148385787295	6595	740	15	36	19	0.0359139850274051	139	7883124.9567625
20211014 200606	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	58	TRUE	0.0518239906728443	0.619231652670324	100	8	4	56	20	0.0359564742147445	140	7797124.9566875
20211014 200633	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	32	TRUE	0.0200236640950134	0.647883189799686	825	954	2	26	19	0.035816259897629	141	7813124.957
20211014 200708	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	98	TRUE	0.0200127701547435	0.90477885003893	2958	948	15	99	20	0.0358587490845436	142	7851874.956875
20211014 200730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	37	TRUE	0.0994603650467395	0.829511068825493	2789	937	7	23	20	0.0353616255970909	143	7829999.958725
20211014 200744	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	28	TRUE	0.0970209215498485	0.101926762744856	1986	876	20	82	20	0.036415357432657	144	7895624.955375
20211014 200810	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	86	TRUE	0.0200147387502213	0.147451153231169	2761	1005	20	58	20	0.03429514701705	145	7810624.9582375
20211014 200826	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	21	TRUE	0.0428056714849452	0.260229846006716	5575	8	8	13	19	0.0358714958404905	146	7858124.956925
20211014 200845	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	54	TRUE	0.0955310201689937	0.118060371889197	2906	10	5	87	20	0.0355315823455989	147	7954374.95775
20211014 200904	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	45	TRUE	0.0913933908492291	0.320625947900263	7821	14	5	96	19	0.0363983617525375	148	7893124.9569875
20211014 200916	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	15	TRUE	0.095388083737108	0.146431784582446	793	14	20	88	20	0.0377707624855014	149	7732124.954425
20211014 200931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	21	TRUE	0.0999815927693687	0.331400725359363	7394	8	5	26	20	0.0346817986145309	150	7828249.958
20211014 200947	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	37	TRUE	0.0970123530785127	0.11235980790687	2944	764	6	1	20	0.0359904655630865	151	7846874.9565
20211014 201004	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	TRUE	0.0392761304260733	0.149608776693582	522	197	7	58	18	0.0371886606246445	152	7548249.9558125
20211014 201024	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	16	TRUE	0.0430003215596233	0.99912848017336	877	946	9	30	20	0.0363856150021142	153	7857249.95595
