Feature	Gain	Cover	Frequency
ctrx_quarter	0.203382134068353	0.0348875050679618	0.0158020274299344
V16	0.0964316383180954	0.0122566451175354	0.00566487775790101
V44	0.0375107676798322	0.00321991278366592	0.00268336314847943
V29	0.0355855220079524	0.0323700895326413	0.00954084675014908
V19	0.0323926627646292	0.0199848823360716	0.0110316040548599
V44b	0.0291824113518919	0.00318173166025232	0.00238521168753727
V70b	0.0260627631893905	0.00214737422016773	0.00178890876565295
mcuentas_saldo	0.0244314759872515	0.0221882991891723	0.0181872391174717
V31	0.0200180186433626	0.00865576909207253	0.00298151460942159
V30	0.0188969650114125	0.00936648864588171	0.00447227191413238
V48	0.0153711997459026	0.000376143639769248	0.000596302921884317
V101b	0.0147490755805266	0.00713012353348447	0.00626118067978533
ctarjeta_visa_transacciones	0.01397426620846	0.00899857804565653	0.011329755515802
mv_status01	0.0113337931142324	0.0151011978492896	0.00447227191413238
V6	0.0112129303187732	0.0145932075019328	0.0140131186642815
mv_msaldopesos	0.0111541842931393	0.00414204541484156	0.00536672629695886
mtarjeta_visa_consumo	0.010960055465374	0.00494807286710149	0.00715563506261181
mactivos_margen	0.0107137664991697	0.0150793486289612	0.0110316040548599
mcaja_ahorro	0.0104010937031782	0.00260776965574055	0.00298151460942159
V90b	0.0102865408649448	0.0027498244736364	0.00119260584376863
mprestamos_personales	0.00994975607016489	0.0285035450212389	0.0104353011329756
V17	0.00866665138819717	0.000570999398365537	0.00119260584376863
mvr_msaldototal	0.00706314268024391	0.00827057125562086	0.00447227191413238
ccallcenter_transacciones	0.00641008102205316	0.0124115217942779	0.00536672629695886
thomebanking	0.00634977574186158	0.00516184207508062	0.00655933214072749
mtransferencias_recibidas	0.00614028574609504	0.00952644790961784	0.0107334525939177
cproductos	0.00582013745132564	0.0133839757936186	0.00805008944543828
V102b	0.00567551949309799	0.00402837687214033	0.00715563506261181
V33b	0.00550023153175506	0.00105344263475127	0.00178890876565295
mrentabilidad_annual	0.00538071699461217	0.00590001940614367	0.00685748360166965
V118b	0.00531717207844993	0.0117881991217826	0.00327966607036375
cpayroll_trx	0.00520595588690773	0.00459448689695655	0.00238521168753727
V118	0.00503263134626203	0.00999710512590008	0.00417412045319022
Master_fechaalta	0.0041259870946989	0.00967534033662655	0.0101371496720334
V89b	0.00407033405309578	0.000621250995008986	0.00119260584376863
mv_msaldototal	0.00402867136248572	0.00123476808520507	0.00208706022659511
Visa_mpagominimo	0.00381192651401285	0.00542615806690979	0.00745378652355397
mcuenta_debitos_automaticos	0.00365770783716106	0.00633793231065386	0.00417412045319022
tcallcenter	0.00351897737467645	0.00604277730629523	0.00268336314847943
mvr_msaldopesos	0.00342824697221337	0.00233906879213335	0.00327966607036375
mv_fechaalta	0.00338113161891773	0.00655037049268323	0.0086463923673226
V106	0.00328634666047294	0.000335778131026817	0.000894454382826476
canarito55	0.00322613785460525	0.00327513425946047	0.00745378652355397
canarito19	0.00317212998859159	0.0106788802323422	0.0143112701252236
V58	0.00316230333230513	0.00276184127646505	0.00447227191413238
chomebanking_transacciones	0.00312353118068522	0.00671065177882655	0.0050685748360167
V111b	0.00297804898923564	0.00153771603181792	0.00208706022659511
V46	0.00296475192461765	0.00261461799893366	0.00447227191413238
ccuenta_debitos_automaticos	0.00293872775340339	0.00515256246271316	0.0035778175313059
V102	0.0028719476707858	0.00364783762651281	0.0050685748360167
Visa_status	0.00283633067354172	0.0126315436039969	0.00298151460942159
canarito79	0.00281630118122222	0.00513025704397449	0.00626118067978533
V101	0.0027685191269019	0.00159496088173771	0.00298151460942159
V8	0.00273680036799016	0.00458261500421114	0.00655933214072749
mv_status02	0.00253027075846999	0.0100542319009372	0.00238521168753727
V69	0.00244051004179653	0.00758019815090655	0.00715563506261181
ccaja_ahorro	0.00242838515414183	0.0156058337965715	0.00417412045319022
cliente_edad	0.00238193391590656	0.00789063311848678	0.00894454382826476
mtarjeta_master_consumo	0.00233363778696665	0.00563549946678993	0.00268336314847943
Visa_fechaalta	0.00229401802181092	0.00411320830827686	0.00626118067978533
mrentabilidad	0.00214790938240497	0.000812907997693761	0.00178890876565295
canarito69	0.00213954805769139	0.00421535381584047	0.00596302921884317
V40	0.00210653105852437	0.00242887010742099	0.00178890876565295
V10	0.00204823832193926	0.00121452897691259	0.00208706022659511
mpasivos_margen	0.00196540223645262	0.00364133277388738	0.00536672629695886
canarito62	0.00196293576146431	0.00391022148389879	0.00715563506261181
canarito63	0.00192998803988764	0.00407378739859555	0.00655933214072749
V73b	0.00190507438843965	0.000907346435645072	0.00178890876565295
mv_status06	0.00189229471490677	0.000642483005723658	0.000894454382826476
canarito31	0.00189112842384368	0.00451205452775366	0.0050685748360167
ccaja_seguridad	0.00184009784955478	0.00773899813397676	0.00298151460942159
V23	0.00182532831952405	0.000728479089566228	0.00119260584376863
V105c	0.00182467201421067	0.00589485631354824	0.00447227191413238
mplazo_fijo_dolares	0.00176698787097553	0.0124170820478422	0.00298151460942159
canarito20	0.00175066936656376	0.0126164139178986	0.0119260584376863
mvr_msaldopesos2	0.00169869511172166	0.00503804592767297	0.00477042337507454
V103	0.00165534728505217	0.00171968552708612	0.00387596899224806
ctarjeta_debito_transacciones	0.00164725912728089	0.0102655805738222	0.0050685748360167
ctarjeta_master	0.00162366579440093	0.000330926326758348	0.000596302921884317
