Feature	Gain	Cover	Frequency
ctrx_quarter	0.0591160927659329	0.0244107426243679	0.00996908809891808
V16	0.0580216046337413	0.00618192861396374	0.00386398763523957
V30	0.033610557553958	0.0144766292435486	0.00363214837712519
V44b	0.0304766240589908	0.00305475764776499	0.00208655332302937
V48	0.0264513647171383	0.000773515392554364	0.00131375579598145
V40	0.0240594118706636	0.00574990911359441	0.0027047913446677
cpayroll_trx	0.0228428814121879	0.00862187602939414	0.00278207109737249
V90b	0.0214660559521885	0.0011471567010395	0.000772797527047913
mcuentas_saldo	0.0166900922308364	0.0151016987253422	0.0193199381761978
ctarjeta_visa_transacciones	0.0166737764144344	0.0101788980984909	0.0112055641421947
mprestamos_personales	0.0163800120780189	0.0140567795516454	0.00394126738794436
V29	0.0163376237973288	0.0172594019383056	0.00332302936630603
mtarjeta_visa_consumo	0.0125794009888328	0.00474541444522856	0.00695517774343122
V19	0.011886744859156	0.0107835291230007	0.0035548686244204
V31	0.0117219376711809	0.00821649995299294	0.00340030911901082
mcaja_ahorro	0.0111320406546508	0.00595519502483475	0.00757341576506955
V5	0.00967901201078731	0.00762997921823371	0.00726429675425039
Visa_msaldopesos	0.00872418649435694	0.00499277441547813	0.00788253477588872
mactivos_margen	0.00819576582295772	0.0118779001063353	0.00525502318392581
V118	0.00794934602766451	0.00838827626008109	0.00247295208655332
mvr_msaldopesos	0.0077663950875993	0.00334933870210855	0.00301391035548686
V101b	0.00771148037472272	0.002774211719971	0.00200927357032458
V106	0.007258148493193	0.00043370037468707	0.000618238021638331
mv_msaldopesos	0.00712457157721294	0.00409219814877272	0.00788253477588872
mv_fechaalta	0.00700754146328648	0.00737440976037431	0.00989180834621329
V28	0.00669479941470776	0.00274136332931855	0.00115919629057187
mtransferencias_recibidas	0.00647237197197798	0.00629490912064155	0.00525502318392581
mv_msaldototal	0.0064457532651469	0.00351134296968487	0.00502318392581144
ccallcenter_transacciones	0.00558537878688927	0.00545293377036762	0.00247295208655332
cliente_edad	0.00542622833101553	0.00719498425711558	0.00540958268933539
Visa_status	0.00522063976084465	0.00427564313409561	0.00115919629057187
V6	0.00518505449255434	0.0135749950352436	0.00935085007727975
cproductos	0.00475071619375203	0.0060714398381586	0.00293663060278207
mrentabilidad_annual	0.00448787059526698	0.00301582609291501	0.00378670788253478
ccajas_otras	0.00399160037008607	0.0152917836862308	0.00162287480680062
Master_fechaalta	0.00395167880369935	0.00625481522206046	0.00819165378670788
canarito59	0.00391589717881889	0.00404273937899281	0.00432766615146832
canarito3	0.00380845851369692	0.00420391538965894	0.00486862442040186
V89b	0.00376972167732291	0.000614375223453187	0.00154559505409583
chomebanking_transacciones	0.00371457861382297	0.00358879891107185	0.00363214837712519
numero_de_cliente	0.00367133292241826	0.00791064346844344	0.00649149922720247
V102b	0.00365196063161936	0.0030180950992404	0.00347758887171561
canarito55	0.00357652636125846	0.00390595866639571	0.00386398763523957
mvr_msaldopesos2	0.003576473882229	0.00375417188742576	0.00363214837712519
V102	0.00351766313745408	0.00243127507837077	0.0035548686244204
mpasivos_margen	0.00343340525711746	0.00338169292267173	0.00656877897990727
mcuenta_debitos_automaticos	0.00342006598399564	0.00436646254831926	0.00208655332302937
canarito19	0.00338810916325408	0.0019537432087936	0.00417310664605873
canarito31	0.00338536906600973	0.00281059934288254	0.00386398763523957
Master_Fvencimiento	0.00324598977315803	0.00335043840456073	0.00471406491499227
canarito62	0.00319964961492968	0.00311954961059658	0.00579598145285935
tcallcenter	0.00319636957746987	0.00266395262885524	0.00162287480680062
mv_status06	0.00319196553233554	0.000586047445096268	0.000386398763523957
canarito79	0.00310816600362714	0.00443744555755097	0.00425038639876352
thomebanking	0.00308026888456514	0.00322195766142079	0.00146831530139104
canarito33	0.003070623971198	0.00428523072984172	0.00556414219474498
