Feature	Gain	Cover	Frequency
ctrx_quarter	0.189119314248724	0.033018087749382	0.0191822311963655
V16	0.0797744560181228	0.0110981753042959	0.00454316002019182
V48	0.0388996051096061	0.000923875172377929	0.00151438667339727
V29	0.0369809768488584	0.0341549870207276	0.00925458522631667
V44	0.0303382912252937	0.00157880928785902	0.00151438667339727
V44b	0.0248057295621718	0.00217281176945112	0.00185091704526334
V31	0.0197085778939491	0.0103091982362139	0.00437489483425879
mcuentas_saldo	0.0196875247398967	0.0170632527439068	0.0178361097089012
V101b	0.0193016393695165	0.0042676013247761	0.0038700992764597
V19	0.0177181153310451	0.0155057890386515	0.00723540299512031
V30	0.0136274493645946	0.0111209696633151	0.00353356890459364
ctarjeta_visa_transacciones	0.0130317424161727	0.00902237343758025	0.0127881541309103
mv_status01	0.0128265903190127	0.0133580464977775	0.00353356890459364
V6	0.0116172977988293	0.0154029176107047	0.0127881541309103
mactivos_margen	0.0112985473249955	0.0143104488665095	0.00858152448258455
mcaja_ahorro	0.0112725539380405	0.00340898335942466	0.0038700992764597
mprestamos_personales	0.0112437607003718	0.0220343616306918	0.00858152448258455
mvr_msaldototal	0.0101423862121515	0.00678295531401081	0.00420662964832576
mtarjeta_visa_consumo	0.00902993847579032	0.00456022510216188	0.00723540299512031
V90b	0.00865403578548196	0.00235745811605025	0.000673060743732122
V20	0.00646265077468474	0.000336282177277488	0.00117785630153121
mtransferencias_recibidas	0.00641591934163707	0.00959763730387226	0.0102641763419149
Visa_status	0.00600868851147368	0.00587032580154603	0.0016826518593303
cproductos	0.0057787925825679	0.00931716830397843	0.00504795557799091
mrentabilidad_annual	0.0057199735772137	0.0035497761987065	0.00572101632172304
tcallcenter	0.00564379122661566	0.00416778934731141	0.00201918223119637
V36b	0.0053890960723873	0.00418052944708013	0.00353356890459364
V102b	0.00534022457777015	0.00327252024450215	0.00471142520612485
thomebanking	0.00523751847677886	0.00351645434114914	0.0038700992764597
mv_msaldopesos	0.00482855384914126	0.00318758624604401	0.00504795557799091
ccallcenter_transacciones	0.00463322136778584	0.00648856726735109	0.00302877334679455
Master_fechaalta	0.00458206389002358	0.00836493198411927	0.0119468282012452
V73b	0.00452779327914799	0.000953062413001547	0.00185091704526334
mv_status02	0.00429671456357228	0.0114320373192517	0.00252397778899546
cliente_edad	0.00427850318069018	0.00899825483880011	0.00874978966851758
V40	0.00401684238989334	0.00245991857303676	0.00286050816086152
chomebanking_transacciones	0.00380137232901601	0.00557260847498586	0.00538448594985698
canarito55	0.00371444091160874	0.00389522427376481	0.0060575466935891
V89b	0.00365738681921295	0.000854910924265263	0.0021874474171294
mv_msaldototal	0.00363300079888517	0.00157281492354946	0.00319703853272758
cpayroll_trx	0.00361529818851951	0.00230049920144399	0.00117785630153121
mv_fechaalta	0.00359288038801026	0.00758160472893574	0.00908632004038364
mcuenta_debitos_automaticos	0.00358275493990786	0.00797808377383989	0.0038700992764597
V118	0.00356348727537348	0.00604412085430501	0.00185091704526334
canarito79	0.0033284274496435	0.00333586373826915	0.00555275113579001
Visa_mpagominimo	0.00308105868385787	0.00638907908518844	0.0094228504122497
canarito69	0.00306857658526364	0.00310435009731066	0.00588928150765607
Visa_fechaalta	0.00304460167229072	0.0034054174598804	0.00521622076392394
mvr_msaldopesos2	0.00300393022780826	0.0036427760211629	0.00521622076392394
V118b	0.00298852527738528	0.00541373706467346	0.00185091704526334
ccuenta_debitos_automaticos	0.00294659231555012	0.00449630458856176	0.00286050816086152
V105c	0.00292527280786635	0.00537390194007891	0.00353356890459364
V101	0.00276029591008429	0.000949268196257131	0.0021874474171294
V69	0.00269836277669801	0.00428113015669082	0.00471142520612485
V102	0.00267539184014814	0.00327802476463683	0.00437489483425879
mrentabilidad	0.00254660725355396	0.00127415111841409	0.00235571260306243
mplazo_fijo_dolares	0.00249327586526408	0.0182024434896976	0.00319703853272758
mvr_msaldopesos	0.00242747901449424	0.00390238513140608	0.00252397778899546
V28	0.00239831165317411	0.00102100961176806	0.00151438667339727
mpasivos_margen	0.0023565717352661	0.00268645074781002	0.00420662964832576
ccaja_ahorro	0.00235442471146181	0.00864906236165924	0.00235571260306243
mtransferencias_emitidas	0.00231369012154885	0.00885725858964904	0.00656234225138819
Master_status	0.00220361802388209	0.00252742574229025	0.000841325929665152
V8	0.00219252078465066	0.00305176241928193	0.00487969039205788
canarito29	0.00217798706153352	0.00418666910415342	0.00454316002019182
mv_status06	0.00217401274419262	0.000398309733727224	0.000504795557799091
canarito43	0.00215378139113118	0.0054029438879388	0.00723540299512031
V5	0.00213630921956869	0.00259719117621437	0.00353356890459364
canarito31	0.00212045593438023	0.00343032894202837	0.00471142520612485
canarito59	0.00210340260990548	0.00319605473855889	0.00471142520612485
V106b	0.00209471337887698	0.000290759878788142	0.00117785630153121
canarito58	0.00206300276084919	0.00728439385143773	0.00841325929665152
canarito1	0.00201377879141259	0.00450237782608592	0.00403836446239273
numero_de_cliente	0.00200842023896496	0.00774048444169178	0.00555275113579001
canarito19	0.00200546710782986	0.00362734177843233	0.00588928150765607
canarito15	0.00200142127885205	0.00268081338857707	0.00370183409052667
canarito26	0.00192275750259309	0.00235535344658699	0.00487969039205788
canarito76	0.00191990678412016	0.00195182562703074	0.00353356890459364
canarito20	0.00191894013327573	0.0153224835367005	0.0124516237590443
V52b	0.00191861146236741	0.00178511255869843	0.00201918223119637
canarito62	0.00191332519240466	0.00166744202495969	0.0038700992764597
canarito25	0.00190918153270708	0.00248275859549603	0.00437489483425879
canarito13	0.00183292850315703	0.0022775180374428	0.00420662964832576
canarito72	0.00183053268116953	0.010927672170441	0.0134612148746424
canarito30	0.00182334644178509	0.00361241398476393	0.00437489483425879
V13	0.00179767541235782	0.0022649605914342	0.00336530371866061
canarito56	0.00178866653222938	0.00282551667881432	0.00420662964832576
canarito77	0.00172841878189015	0.0058516992692351	0.00403836446239273
canarito33	0.00170924473773915	0.00302637769784637	0.00454316002019182
canarito61	0.00170650777070609	0.00143998827894216	0.0038700992764597
V52	0.00168813057612772	0.00129579558898891	0.00269224297492849
cliente_antiguedad	0.00163449401824494	0.00362201576083596	0.00572101632172304
canarito64	0.00160752963315105	0.00222297513393637	0.00319703853272758
canarito27	0.00157317023350486	0.00258395292982713	0.00403836446239273
