fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211011 225810	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	64	TRUE	0.0780223263479583	0.371373854788928	2817	771	0.0238852963126348	29	7825124.9626
20211011 230306	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	175	TRUE	0.0199592769562826	0.68331983823427	3994	213	0.0322089279689051	30	8113624.9559375
20211011 230505	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.0899242324221134	0.530313809819054	3213	110	0.028682325480915	31	7827124.960725
20211011 230737	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	68	TRUE	0.0537802544140816	0.964424182611075	3655	800	0.0307600467057834	32	7752499.9559625
20211011 231136	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	162	TRUE	0.0202156489595585	0.381392026528181	2965	726	0.0317457958327686	33	8033124.9574625
20211011 231338	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.0781727420439012	0.630363938272628	2555	719	0.0297657997381011	34	8002749.9575875
20211011 231611	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	225	TRUE	0.047817674733121	0.102499842611514	3799	996	0.0341464348736838	35	7859999.956125
20211011 231957	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	117	TRUE	0.0335301788368821	0.856295300018508	3166	773	0.033742787601607	36	7888124.955625
20211011 232224	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	72	TRUE	0.0649523447387107	0.905233486025315	4438	1013	0.0338830019191474	37	7841624.9550125
20211011 234232	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	266	TRUE	0.0173900920117088	0.488623353827908	3702	739	0.03518741994523	38	8306874.9548375
20211011 234926	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.0617847293559089	0.909563796412083	2534	653	0.0354466039832419	39	7856999.9556625
20211011 235156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	62	TRUE	0.066830058319997	0.819000642385799	4342	952	0.0331904281755418	40	7917124.9558125
20211011 235429	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	72	TRUE	0.081021437034905	0.402887061624858	1692	250	0.0282319401007253	41	8071374.9600125
20211011 235818	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	143	TRUE	0.0402928258382343	0.684560301413061	4774	404	0.034282400269176	42	8145624.955575
20211012 000052	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	121	TRUE	0.0545263731375709	0.331051554654678	6420	860	0.0362793920397141	43	7814374.9545375
20211012 000220	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	0.0824665586447529	0.200167848907807	5000	933	0.0337342897630344	44	7733249.955775
20211012 000440	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	0.0548980128350481	0.963415902012098	4717	178	0.0309639947996591	45	7803499.9577125
20211012 001421	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	388	TRUE	0.0126768751889281	0.571853285110486	5140	763	0.0372184030645349	46	8090624.9532875
20211012 001648	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	92	TRUE	0.0508773702429049	0.380386800091667	3645	878	0.0292580539589122	47	8106874.9582125
20211012 001855	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	58	TRUE	0.0898403506366163	0.871807470440515	5563	174	0.034720038892569	48	7833124.9547
20211012 002043	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.080820540709123	0.471630654015997	5271	410	0.029381272596758	49	7702124.959125
20211012 002301	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.0738934039307386	0.683186660218076	5510	838	0.0337172940897132	50	8048124.955225
