Feature	Gain	Cover	Frequency
ctrx_quarter	0.368043560068645	0.0362718210555856	0.0108666843360721
V16	0.0959617716289209	0.0211246809088659	0.00503578054598463
V168	0.0706253968638932	0.0506891414224962	0.0103366021733369
V133i	0.0372987375113673	0.0012997215749358	0.000265041081367612
mcuentas_saldo	0.0188236619268559	0.0156797601435663	0.0164325470447919
V179	0.0167949933202721	0.0286154065300116	0.00689106811555791
ctarjeta_visa_transacciones	0.0165799498177315	0.00959520609641508	0.00556586270871985
mtarjeta_visa_consumo	0.0163586649728181	0.00663743577083674	0.00689106811555791
V138	0.0140440453799104	0.00337707596619513	0.0021203286509409
V131	0.0131790687697393	0.00397087323475642	0.00106016432547045
mactivos_margen	0.0123146317149319	0.0121937656604883	0.0140471773124834
cproductos	0.0108231954041206	0.0180774530436137	0.0166975881261596
V135	0.0106137133493091	0.0004378498975601	0.000530082162735224
V168i	0.0102312884791192	0.0038991647248074	0.000795123244102836
mcaja_ahorro	0.00989341944288308	0.00317618721252433	0.00530082162735224
Visa_mpagominimo	0.00860241566899258	0.0201689613748807	0.00901139676649881
V169	0.00800775286063054	0.00648477975693449	0.00159024648820567
V30	0.00783625324135669	0.0033906500530226	0.000795123244102836
V6	0.00750252938197939	0.0100747225867796	0.00609594487145508
mprestamos_personales	0.00727654389941092	0.00246949529098747	0.00477073946461702
V161i	0.00711559330618607	0.00021892494878005	0.000265041081367612
mv_msaldopesos	0.00695592064877706	0.00191235578823609	0.00185528756957328
V29	0.00683780613345331	0.00146391942832927	0.0021203286509409
mv_status01	0.0062445569218242	0.0154111942401516	0.00530082162735224
Visa_status	0.00619968546718547	0.025994431498716	0.00530082162735224
V142	0.00578070206255371	0.0004378498975601	0.000530082162735224
V101b	0.00541237325325422	0.0173525537322192	0.0121918897429102
tcallcenter	0.0053894505797516	0.0131404450072739	0.00583090379008746
V153i	0.00524664558038444	0.000904454990445925	0.00238536973230851
V127i	0.00517511075268278	0.00543652670021498	0.0119268486615425
V153	0.00513684333295682	0.00165450336262658	0.00344553405777896
V140	0.00494230331803351	0.00237716609746898	0.000530082162735224
V31	0.00489681502733261	0.00237716609746898	0.000530082162735224
ccuenta_debitos_automaticos	0.00486709321331692	0.012812303331404	0.00821627352239597
