fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	max_bin	ratio_corte	iteracion_bayesiana	ganancia
20211014 225925	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	220	TRUE	0.0591880201282246	0.31404532617723	6439	401	7	73	245	0.0264771366961527	1	7922124.960275
20211014 225943	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	5	TRUE	0.0282605465474938	0.74143302938402	5160	179	11	23	710	0.0295193624560361	2	8030374.9563
20211014 230005	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	19	TRUE	0.0772911391194378	0.762671857959192	414	415	6	80	616	0.0331989260132646	3	8036874.9560875
20211014 230034	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	72	TRUE	0.0544820918302451	0.64886421097825	3104	473	2	35	997	0.0296255854222603	4	7876874.958
20211014 230102	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	85	TRUE	0.0422136116047789	0.487815679198164	5458	563	17	11	154	0.0330672095359964	5	8124374.95575
20211014 230116	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	14	TRUE	0.0358576650864312	0.6864241187178	4160	789	18	37	810	0.0324596141653701	6	8001874.956875
20211014 230135	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	54	TRUE	0.0541851109126583	0.841728778719802	3456	938	11	59	334	0.0361264309679264	7	7887124.95435
20211014 230152	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	44	TRUE	0.0762602851433413	0.472387876293422	1495	148	9	62	582	0.0348687510461326	8	7786374.954875
20211014 230208	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	75	TRUE	0.0904656308570078	0.36191517177753	7772	820	13	57	218	0.0290732259966199	9	7809624.9582875
20211014 230224	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	69	TRUE	0.0692091588190358	0.268420327639407	1821	699	12	44	100	0.0333603849215004	10	7753624.9562
20211014 230233	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	6	TRUE	0.0681288139402334	0.333202407237176	7419	350	4	31	409	0.0319157525783023	11	7930749.9554
20211014 230252	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	97	TRUE	0.0325483271845483	0.190786999124768	7690	622	10	67	741	0.0299017651369925	12	7810624.957475
20211014 230310	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	67	TRUE	0.0467763687384182	0.227856700095747	1519	736	12	47	937	0.0333221446515353	13	7748124.95675
20211014 230321	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	2	TRUE	0.0953494817384386	0.908569974739138	6070	205	15	19	671	0.0351576775121379	14	7656874.9552375
20211014 230338	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	48	TRUE	0.0979648490522855	0.538510552934271	840	849	14	76	538	0.0331266943979317	15	7995624.9553375
20211014 230357	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	3	TRUE	0.0501424960499363	0.80437001351633	131	286	1	26	500	0.029532109215807	16	7874624.95625
20211014 230425	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	80	TRUE	0.0390515373880044	0.560309942598022	4702	249	20	70	291	0.0342271643280141	17	8133374.9554
20211014 230446	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	28	TRUE	0.0204672412421288	0.600382833097995	2149	21	0	86	866	0.0331351922335301	18	7854374.9558125
20211014 230457	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	13	TRUE	0.086950474003596	0.418385827002515	5874	911	5	10	643	0.0299315075615868	19	7478124.9588625
20211014 230510	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	8	TRUE	0.0656948771274516	0.815605078958574	6773	505	15	83	911	0.0332541619557012	20	7883874.95565
20211014 230522	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	19	TRUE	0.0722879773338458	0.988370118771646	4413	524	0	53	118	0.0308195315655942	21	8026124.95765
20211014 230535	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	44	TRUE	0.0622812462418473	0.229942526551895	5626	960	19	90	357	0.032544592540049	22	7680624.956375
20211014 230545	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	24	TRUE	0.0914446909466226	0.153393768717901	3655	298	4	42	981	0.0324298717352522	23	7894999.95675
20211014 230601	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	36	TRUE	0.0853862267539704	0.88623547413902	2587	633	19	4	487	0.0331309433136064	24	7714374.9561875
20211014 230619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	62	TRUE	0.0300165427748912	0.423671039377639	3964	104	6	1	61	0.0313548953185507	25	7988124.956225
20211014 230641	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	119	TRUE	0.0449613344037373	0.119827415855668	1151	670	3	94	441	0.0312571701881374	26	7656749.9568125
