Feature	Gain	Cover	Frequency
ctrx_quarter	0.24694970165243	0.0304656478532425	0.0102154531946508
V16	0.190956311502381	0.00685739169989745	0.00167161961367013
V135	0.0596008552563319	0.0107422179315676	0.00352897473997028
V138	0.0516470621623675	0.0309344771084823	0.00854383358098068
V48	0.0339157576221844	0.000185259979359008	0.000557206537890045
V138i	0.0225188506513022	0.0215278015790793	0.0050148588410104
mcuentas_saldo	0.0159350804412201	0.011854290572038	0.0115156017830609
mactivos_margen	0.0153381694153614	0.0129287510658248	0.0109583952451709
V6	0.0126581220930044	0.00914681718277326	0.00538632986627043
V131	0.0101440490494625	0.00848266715865637	0.00278603268945022
mtarjeta_visa_consumo	0.00974382841955051	0.00514820678114329	0.0037147102526003
ctarjeta_visa_transacciones	0.00918045405914755	0.0081435000856564	0.00352897473997028
V29	0.00804713196367648	0.00433708435872641	0.00278603268945022
mcaja_ahorro	0.00728263571759075	0.00189130819501911	0.00260029717682021
mv_msaldototal	0.00677740605313652	0.00303727632495576	0.00352897473997028
V101b	0.00655706888170393	0.0124706262077279	0.00947251114413076
V30	0.00647118020358212	0.00238999094238966	0.000742942050520059
V153	0.00611003399187615	0.00383219185866908	0.00204309063893016
tcallcenter	0.00605827806457141	0.00928938688056355	0.00557206537890045
V153i	0.00598967695994638	0.000531909875072648	0.0013001485884101
mvr_msaldototal	0.0059638281978103	0.00547944192061455	0.00538632986627043
mv_status01	0.00582976403178684	0.00389629447082914	0.00222882615156018
cproductos	0.00569128987586489	0.0213124653203348	0.0111441307578009
V106	0.00555178713666975	0.00207796147879645	0.00297176820208024
mprestamos_personales	0.00551758847916622	0.0117942865381035	0.00538632986627043
mtransferencias_recibidas	0.00493701855953447	0.00888909830104986	0.00817236255572066
mvr_msaldopesos	0.0048401862172565	0.00181079358842894	0.00297176820208024
V131i	0.00480951622031985	0.00615192701710201	0.00185735512630015
mrentabilidad_annual	0.00460778146007969	0.00308419956436392	0.00724368499257058
thomebanking	0.0041555727910602	0.00712798273411507	0.00668647845468053
V127i	0.00412306148096625	0.00305427180981488	0.00835809806835067
Master_fechaalta	0.00379996933092142	0.00470902237600217	0.00947251114413076
mcuenta_debitos_automaticos	0.00350810905803234	0.00539981139043195	0.0050148588410104
mtarjeta_master_consumo	0.00284308374010775	0.0113746048585133	0.0037147102526003
ccuenta_debitos_automaticos	0.00276098894882772	0.00620240777997423	0.00482912332838039
Visa_status	0.00275416436952264	0.0058044743800103	0.00260029717682021
mpasivos_margen	0.00268172819659829	0.00182872619428008	0.00167161961367013
V83b	0.00253980188932996	0.0113745518139289	0.00928677563150074
V127	0.00239914805693298	0.00400682877591474	0.00482912332838039
mv_status02	0.00237840210634774	0.0118083115262332	0.00334323922734027
canarito52	0.0023256570963674	0.00919748183353826	0.0087295690936107
canarito71	0.00228945939578425	0.00581857363055822	0.00854383358098068
cliente_edad	0.00227588794111699	0.00940313568746708	0.0131872213967311
mv_fechaalta	0.00227410303404744	0.0034101231727785	0.00705794947994056
canarito58	0.00224722833789983	0.006319081111634	0.0100297176820208
V106b	0.00224561413930328	0.0011219601510127	0.00334323922734027
V118	0.00224431131586199	0.001517881393073	0.000742942050520059
canarito43	0.00220187985138347	0.0113746225400415	0.0087295690936107
V73b	0.00220180424322891	0.000351827047156367	0.00111441307578009
V25	0.0021918291048497	0.00040159347629127	0.00037147102526003
V36b	0.00219091219101573	0.00952663055268765	0.00538632986627043
V148i	0.00196424843264649	0.0040470012078747	0.00557206537890045
mvr_msaldopesos2	0.00193134203353165	0.00539407903900527	0.00687221396731055
V102	0.00191457262910915	0.00769437158908293	0.00780089153046062
Visa_fechaalta	0.00182982221568869	0.00283886482495775	0.00687221396731055
canarito69	0.00181585576436143	0.00430987602320705	0.00687221396731055
canarito95	0.00178188236212625	0.0104034858241601	0.0105869242199108
V58	0.00176040870172848	0.00142787887847679	0.00241456166419019
chomebanking_transacciones	0.0017558750632895	0.00522302086305746	0.00520059435364042
ccallcenter_transacciones	0.00173977817392134	0.00572106707541456	0.00297176820208024
V101	0.00171158078971159	0.00278107451834775	0.00427191679049034
canarito91	0.00170827123988641	0.00279080643144227	0.00612927191679049
canarito67	0.00170149944910318	0.00280560940681062	0.00742942050520059
V155i	0.00157042133800447	0.00094547728222804	0.000928677563150074
mv_msaldopesos	0.00156799189643417	0.00106619968383447	0.00148588410104012
V69	0.00155618303863923	0.00982940550444643	0.00464338781575037
V159	0.00153738768661303	0.00435189794301164	0.00167161961367013
Master_mfinanciacion_limite	0.00147128895065901	0.00347686740524437	0.00575780089153046
canarito47	0.0014248441578309	0.00234534154750177	0.00520059435364042
V53b	0.00141139927759432	0.00600217508257663	0.00408618127786033
canarito98	0.00134860099354539	0.0041678367712613	0.00631500742942051
V111	0.00130131756959352	0.00176838621131064	0.0037147102526003
canarito27	0.00124708028962766	0.00262614896868526	0.00482912332838039
V105c	0.00124616440194291	0.00545775022187843	0.00482912332838039
V82	0.00124074374286655	0.0035788084876484	0.00464338781575037
ccaja_seguridad	0.00122204792694774	0.00132550990309151	0.00148588410104012
V102b	0.00121767952808031	0.00268894314776211	0.00464338781575037
V11	0.00116171052602709	0.00871223704756276	0.0050148588410104
canarito3	0.00114446002661904	0.00432298864448412	0.00612927191679049
V143i	0.00111087301306241	0.000702561375872978	0.000185735512630015
canarito61	0.00108432097269673	0.00383939531323796	0.00594353640416048
Visa_mpagospesos	0.00105728796539218	0.00245318826030836	0.00241456166419019
ccaja_ahorro	0.00105531848058872	0.0140881571571566	0.00464338781575037
canarito80	0.00103180947000433	0.00696422349298815	0.00612927191679049
V52b	0.00101187594024623	0.00488371941044353	0.00594353640416048
canarito6	0.00101141959805384	0.00445809673739452	0.00538632986627043
canarito40	0.00100240394138216	0.00406726777544182	0.00557206537890045
canarito55	0.00100228831302982	0.00600433930162236	0.00594353640416048
Visa_msaldototal	0.000994813510006681	0.000490524490281504	0.000928677563150074
canarito54	0.000983813729743362	0.00159473945964147	0.00390044576523031
canarito84	0.000980743833761856	0.00168726336015206	0.00482912332838039
canarito50	0.000958408142863816	0.00496268511516764	0.00520059435364042
canarito86	0.000939349976812958	0.00353792525825675	0.00612927191679049
canarito73	0.000933235610032934	0.00156868749606321	0.00352897473997028
canarito16	0.000921761266280784	0.0013299479666575	0.00334323922734027
canarito8	0.000916651067087449	0.00218767889728145	0.00594353640416048
canarito99	0.000915842457219268	0.00219808624475136	0.00408618127786033
canarito4	0.00091435413400394	0.00483422881314779	0.00538632986627043
canarito77	0.000914169303162522	0.00180823683945825	0.00352897473997028
mrentabilidad	0.000909575719458944	0.00240656207057315	0.00278603268945022
V40	0.000898107071096963	0.00460448210895989	0.00204309063893016
V120	0.000882183355558698	0.00124245976536442	0.00037147102526003
V100c	0.000876796814056754	0.00471158973388975	0.00315750371471025
canarito19	0.000868758852661249	0.0019119566835943	0.0037147102526003
canarito31	0.000857636864830048	0.00339958144569464	0.00427191679049034
V15	0.00085614959682675	0.00272839417337349	0.00464338781575037
canarito35	0.000855824390990327	0.00772510562131567	0.00445765230312036
canarito10	0.000846787634247914	0.00363834572923976	0.00464338781575037
V13	0.000845053459022393	0.00173464278298653	0.00390044576523031
