Feature	Gain	Cover	Frequency
ctrx_quarter	0.276356669584879	0.058358519776258	0.0182864883169658
V16	0.206053590024796	0.0138177315903489	0.00338638672536404
V135	0.0674274602617726	0.0180105216450257	0.00643413477819167
V138	0.0468093479364944	0.0588153033736714	0.0162546562817474
V48	0.0376928605147171	0.000297783885736293	0.00101591601760921
V138i	0.0235370990267166	0.0390496431402239	0.0094818828310193
mactivos_margen	0.0177419607012484	0.016429645695196	0.020995597697257
mcuentas_saldo	0.0157900064985009	0.0146697047731772	0.0182864883169658
V131	0.0144420462397229	0.0199306906307164	0.00609549610565527
V6	0.0104340206140049	0.0158678772049441	0.0101591601760921
mtarjeta_visa_consumo	0.0100993075642691	0.00877645086142496	0.00677277345072807
V101b	0.0100769631931426	0.0123108899833592	0.0111750761937013
V29	0.00938010642273871	0.00531892094870172	0.00541821876058246
V153i	0.00801839848698874	0.00133768185620608	0.00338638672536404
mvr_msaldototal	0.00801752511232168	0.00972856086698443	0.0091432441584829
ctarjeta_visa_transacciones	0.00713410191574388	0.0148253395844428	0.00609549610565527
V153	0.00671967281374422	0.00112323642629229	0.00237047070775483
V106	0.00650126805399035	0.0027136386378695	0.00372502539790044
tcallcenter	0.00638768540456734	0.0080302270245384	0.00711141212326448
mv_status01	0.00574806942790751	0.00490335901477598	0.00270910938029123
V30	0.00542229363274961	0.00270433452488704	0.000677277345072807
V131i	0.00539249791656306	0.00852328620852378	0.00338638672536404
mv_msaldototal	0.00521322222215414	0.00368502331568897	0.00372502539790044
mprestamos_personales	0.00499526772606775	0.00385145847720733	0.00474094141550965
cproductos	0.00476688489691914	0.0178946841316367	0.0128682695563833
mtransferencias_recibidas	0.00471950030624737	0.00933076430047392	0.0104977988486285
Visa_status	0.00466737725488277	0.010090434671432	0.00507958008804606
mrentabilidad_annual	0.00461668170478848	0.00415288821620501	0.00880460548594649
mvr_msaldopesos	0.00446807152396154	0.00186165238746675	0.00372502539790044
mpasivos_margen	0.00441326665501898	0.00230288557132794	0.00338638672536404
mcaja_ahorro	0.00413546368540789	0.00319334276080422	0.00507958008804606
V143i	0.00388303798493424	0.00389422211447572	0.00101591601760921
mcuenta_debitos_automaticos	0.0038169115570296	0.0064406938066597	0.00745005079580088
V127i	0.00341646258251517	0.00381264778119904	0.0115137148662377
thomebanking	0.00339137306390132	0.00551449026737512	0.00677277345072807
Master_fechaalta	0.00335617616465633	0.00364877386426575	0.0111750761937013
V83b	0.00289168242043192	0.016377604080094	0.0149001015916018
V127	0.00268194009300891	0.00917049703407877	0.00982052150355571
V58	0.00259030107321298	0.00185588958715037	0.00270910938029123
V5	0.0025243202238147	0.002077313101801	0.00304774805282763
V25	0.00248002718719998	0.000383036741210384	0.000677277345072807
mv_msaldopesos	0.00243126084611927	0.00168418165935614	0.00237047070775483
mtarjeta_master_consumo	0.00237238319975884	0.00609678138324352	0.00406366407043684
mv_fechaalta	0.00236479850530696	0.00541280493707597	0.014222824246529
V118	0.00215572010978312	0.00208860348609432	0.00101591601760921
Visa_fechaalta	0.00200376693741677	0.00271476898305627	0.00982052150355571
ccuenta_debitos_automaticos	0.00190949513779578	0.00521566750947295	0.00575685743311886
mv_status02	0.00187744314025029	0.00415156839118924	0.00203183203521842
ccaja_seguridad	0.00187171373161728	0.00333138861690911	0.00372502539790044
ccallcenter_transacciones	0.00171619469729778	0.0031288738824349	0.00237047070775483
V73b	0.00170190576799805	0.000478279757323644	0.00135455469014561
V36b	0.00169346585203167	0.0142858970450764	0.00575685743311886
V155i	0.00165915698358405	0.000365304042731177	0.00101591601760921
chomebanking_transacciones	0.00165725378579372	0.00237377716252153	0.00507958008804606
V106b	0.00164953897689324	0.000942518405939913	0.00372502539790044
Visa_msaldopesos	0.00158421182569112	0.00125629700275841	0.00169319336268202
V69	0.00155797669790213	0.00916317265861997	0.00643413477819167
canarito71	0.00152399772324595	0.0021508182078773	0.00677277345072807
V105c	0.00145546563869743	0.0106075316585512	0.00643413477819167
canarito58	0.0013505999505795	0.00302525455112255	0.00846596681341009
Visa_mpagominimo	0.00131886617290001	0.00175127712018259	0.00372502539790044
V40	0.00130598334958965	0.00770996691081077	0.00372502539790044
V148i	0.00129384952551764	0.00381750891888089	0.00507958008804606
Visa_msaldototal	0.00125022683576684	0.000820238578364989	0.00135455469014561
canarito52	0.00120656688924764	0.00583840276815133	0.00745005079580088
canarito47	0.00111342463882399	0.00209701900401666	0.00711141212326448
canarito27	0.00109717021895891	0.00203921458859826	0.00677277345072807
V102b	0.00107741232206551	0.0025502482211895	0.00541821876058246
cliente_edad	0.00104304134205602	0.0038415075192914	0.00846596681341009
V52b	0.00100845335049722	0.00553567933928671	0.0091432441584829
V102	0.000982058656999688	0.00437270441920277	0.00677277345072807
V128i	0.000963848929347383	0.00186848019509784	0.00406366407043684
V101	0.000954185883877447	0.00277334438536507	0.00270910938029123
