Feature	Gain	Cover	Frequency
ctrx_quarter	0.266117358447672	0.0143439364312478	0.00439417365123281
V16	0.0880181810398677	0.00384799359949081	0.00105785661974123
V135	0.0790510431292649	0.0060866144259577	0.00195296606721458
V138	0.048177464125995	0.0126434108310764	0.00398730572056311
V138i	0.0200260259715157	0.0145814846414011	0.00349906420375946
V131	0.0188185429584045	0.00397293647199114	0.00105785661974123
V133	0.0184686246963977	0.000722670028985746	0.000162747172267882
V30	0.0166212640343408	0.00285847294744773	0.000976483033607291
mtarjeta_visa_consumo	0.0164599464478344	0.00248000263847609	0.00260395475628611
mcuentas_saldo	0.0148068609149555	0.00853302046474929	0.00838147937179591
mactivos_margen	0.0122882188411592	0.0107798872966499	0.00943933599153715
ctarjeta_visa_transacciones	0.0108955983109778	0.00453920874869151	0.00276670192855399
mvr_msaldototal	0.00864063467065832	0.00587213077354603	0.00382455854829522
V6	0.00777402426333442	0.00510697946167995	0.00406867930669705
mprestamos_personales	0.00775599355191713	0.00600476234372127	0.00244120758401823
cproductos	0.0074460572945875	0.0166864989929357	0.0071608755797868
V131i	0.00694426725425179	0.00134680405448242	0.000732362275205468
V101b	0.00689578370523607	0.0122314176160082	0.00659126047684921
Visa_status	0.00648984546615771	0.0170552033662224	0.00390593213442916
mv_status01	0.00643429845214323	0.00950752911881608	0.00244120758401823
mcaja_ahorro	0.00621993617960024	0.00143202915365011	0.00219708682561641
tcallcenter	0.00550549550826382	0.010688745216484	0.00341769061762552
mv_msaldototal	0.005344365696584	0.00127107314589412	0.00122060379200911
thomebanking	0.00510910056076595	0.00900362157619168	0.00602164537391163
mtransferencias_recibidas	0.00487391618547549	0.00886689847660277	0.0049637887541704
V153i	0.00483572302220447	0.00146137916032967	0.0017902188949467
Master_fechaalta	0.00439482733151652	0.00590893918543818	0.0089510944747335
V127i	0.00423516454408396	0.00346007208786607	0.00423142647896493
V153	0.00422850582579554	0.00774407072982835	0.00260395475628611
V29	0.00399472551531153	0.00206919159138107	0.000732362275205468
mtarjeta_master_consumo	0.00387698207732471	0.00466395049910809	0.00325494344535764
mcuenta_debitos_automaticos	0.00349593706871301	0.00609114965218208	0.00284807551468793
mrentabilidad_annual	0.00336788564283713	0.00458769912955498	0.00650988689071527
ccallcenter_transacciones	0.00304322357302102	0.00922065533380264	0.00276670192855399
mv_fechaalta	0.00287901385485898	0.00369534193792562	0.00520790951257222
mv_msaldopesos	0.00285927524069852	0.000905345686503504	0.000732362275205468
canarito8	0.00282786396769557	0.0107718746542447	0.00805598502726015
V102	0.00270397542728783	0.00851006951795572	0.00659126047684921
V111	0.00261328789951306	0.00319175219889921	0.00431280006509887
cliente_edad	0.00255614776369704	0.00970428025163007	0.00976483033607291
mv_status02	0.00252036368618154	0.0148147355942078	0.00333631703149158
canarito52	0.00245555103141466	0.0106806773038878	0.00748636992432257
